t,Particle Location,Coil_Current,Coil_Location
0.054137229919433594,"[-1, 215]",0.0,"[0, -320]"
0.08378028869628906,"[0, 218]",0.0,"[0, -320]"
0.11688756942749023,"[0, 220]",0.0,"[0, -320]"
0.14349365234375,"[-1, 223]",0.0,"[0, -320]"
0.16962814331054688,"[-1, 226]",0.0,"[0, -320]"
0.1997394561767578,"[-1, 229]",0.0,"[0, -320]"
0.21962571144104004,"[-1, 231]",0.0,"[0, -320]"
0.24991917610168457,"[-1, 234]",0.0,"[0, -320]"
0.2833292484283447,"[0, 238]",0.0,"[0, -320]"
0.31476712226867676,"[0, 241]",0.0,"[0, -320]"
0.340012788772583,"[0, 245]",0.0,"[0, -320]"
0.3696582317352295,"[0, 250]",0.0,"[0, -320]"
0.39997291564941406,"[0, 253]",0.0,"[0, -320]"
0.429959774017334,"[0, 257]",0.0,"[0, -320]"
0.45962953567504883,"[0, 261]",0.0,"[0, -320]"
0.5000171661376953,"[0, 265]",0.0,"[0, -320]"
0.5298521518707275,"[0, 269]",0.0,"[0, -320]"
0.5597634315490723,"[1, 272]",0.0,"[0, -320]"
0.594672679901123,"[1, 276]",0.0,"[0, -320]"
0.6300890445709229,"[1, 280]",0.0,"[0, -320]"
0.6697893142700195,"[2, 285]",0.0,"[0, -320]"
0.6996104717254639,"[2, 289]",0.0,"[0, -320]"
0.7300162315368652,"[2, 292]",0.0,"[0, -320]"
0.7599778175354004,"[1, 293]",0.0,"[0, -320]"
0.783606767654419,"[2, 295]",0.0,"[0, -320]"
0.8097996711730957,"[2, 295]",0.0,"[0, -320]"
0.8397676944732666,"[2, 295]",0.0,"[0, -320]"
0.8698482513427734,"[2, 295]",0.0,"[0, -320]"
0.8996877670288086,"[2, 295]",0.0,"[0, -320]"
0.9299149513244629,"[2, 295]",0.0,"[0, -320]"
0.9598643779754639,"[2, 295]",0.0,"[0, -320]"
0.9838268756866455,"[2, 295]",0.0,"[0, -320]"
1.0098621845245361,"[2, 295]",0.0,"[0, -320]"
1.0397858619689941,"[2, 295]",0.0,"[0, -320]"
1.069967269897461,"[2, 295]",0.0,"[0, -320]"
1.0998625755310059,"[2, 295]",0.0,"[0, -320]"
1.129530906677246,"[2, 295]",0.0,"[0, -320]"
1.159904956817627,"[2, 295]",0.0,"[0, -320]"
1.184145450592041,"[2, 295]",0.0,"[0, -320]"
1.2096292972564697,"[2, 295]",0.0,"[0, -320]"
1.2396068572998047,"[2, 295]",0.0,"[0, -320]"
1.26961088180542,"[2, 295]",0.0,"[0, -320]"
1.299811601638794,"[2, 295]",0.0,"[0, -320]"
1.3246746063232422,"[2, 295]",0.0,"[0, -320]"
1.3498947620391846,"[2, 295]",0.0,"[0, -320]"
1.3846473693847656,"[2, 295]",0.0,"[0, -320]"
1.409592866897583,"[2, 295]",0.0,"[0, -320]"
1.4397273063659668,"[2, 295]",0.0,"[0, -320]"
1.459977388381958,"[2, 295]",0.0,"[0, -320]"
1.489673376083374,"[2, 295]",0.0,"[0, -320]"
1.5299339294433594,"[2, 295]",0.0,"[0, -320]"
1.5597822666168213,"[2, 295]",0.0,"[0, -320]"
1.584524154663086,"[2, 295]",0.0,"[0, -320]"
1.6198582649230957,"[2, 295]",0.0,"[0, -320]"
1.6449406147003174,"[2, 295]",0.0,"[0, -320]"
1.66994047164917,"[2, 295]",0.0,"[0, -320]"
1.7048306465148926,"[2, 295]",0.0,"[0, -320]"
1.729933738708496,"[2, 295]",0.0,"[0, -320]"
1.7598090171813965,"[2, 295]",0.0,"[0, -320]"
1.7844915390014648,"[2, 295]",0.0,"[0, -320]"
1.8195583820343018,"[2, 295]",0.0,"[0, -320]"
1.839698314666748,"[2, 295]",0.0,"[0, -320]"
1.869945764541626,"[2, 295]",0.0,"[0, -320]"
1.8998770713806152,"[2, 295]",0.0,"[0, -320]"
1.929927110671997,"[2, 295]",0.0,"[0, -320]"
1.9496936798095703,"[2, 295]",0.0,"[0, -320]"
1.9844582080841064,"[2, 295]",0.0,"[0, -320]"
2.0099539756774902,"[2, 295]",0.0,"[0, -320]"
2.039777994155884,"[2, 295]",0.0,"[0, -320]"
2.0695106983184814,"[2, 295]",0.0,"[0, -320]"
2.0999321937561035,"[2, 295]",0.0,"[0, -320]"
2.12990140914917,"[2, 295]",0.0,"[0, -320]"
2.1599066257476807,"[2, 295]",0.0,"[0, -320]"
2.1846985816955566,"[2, 295]",0.0,"[0, -320]"
2.209918975830078,"[2, 295]",0.0,"[0, -320]"
2.2399742603302,"[2, 295]",0.0,"[0, -320]"
2.269566774368286,"[2, 295]",0.0,"[0, -320]"
2.2995362281799316,"[2, 295]",0.0,"[0, -320]"
2.329619884490967,"[2, 295]",0.0,"[0, -320]"
2.349943161010742,"[2, 295]",0.0,"[0, -320]"
2.384533643722534,"[2, 295]",0.0,"[0, -320]"
2.4096407890319824,"[2, 295]",0.0,"[0, -320]"
2.4396352767944336,"[2, 295]",0.0,"[0, -320]"
2.469703197479248,"[2, 295]",0.0,"[0, -320]"
2.4995436668395996,"[2, 295]",0.0,"[0, -320]"
2.5197248458862305,"[2, 295]",0.0,"[0, -320]"
2.5499050617218018,"[2, 295]",0.0,"[0, -320]"
2.584949016571045,"[2, 295]",0.0,"[0, -320]"
2.619656562805176,"[2, 295]",0.0,"[0, -320]"
2.6495699882507324,"[2, 295]",0.0,"[0, -320]"
2.6696321964263916,"[2, 295]",0.0,"[0, -320]"
2.6996326446533203,"[2, 295]",0.0,"[0, -320]"
2.7295236587524414,"[2, 295]",0.0,"[0, -320]"
2.7595176696777344,"[2, 295]",0.0,"[0, -320]"
2.7897496223449707,"[2, 295]",0.0,"[0, -320]"
2.819824457168579,"[2, 295]",0.0,"[0, -320]"
2.8445546627044678,"[2, 295]",0.0,"[0, -320]"
2.869824171066284,"[2, 295]",0.0,"[0, -320]"
2.899768590927124,"[2, 295]",0.0,"[0, -320]"
2.9298253059387207,"[2, 295]",0.0,"[0, -320]"
2.9596450328826904,"[2, 295]",0.0,"[0, -320]"
2.9895825386047363,"[2, 295]",0.0,"[0, -320]"
3.0095512866973877,"[2, 295]",0.0,"[0, -320]"
3.0394959449768066,"[2, 295]",0.0,"[0, -320]"
3.0698657035827637,"[2, 295]",0.0,"[0, -320]"
3.0995380878448486,"[2, 295]",0.0,"[0, -320]"
3.129910945892334,"[2, 295]",0.0,"[0, -320]"
3.1596245765686035,"[2, 295]",0.0,"[0, -320]"
3.1897735595703125,"[2, 295]",0.0,"[0, -320]"
3.2196271419525146,"[2, 295]",0.0,"[0, -320]"
3.2496063709259033,"[2, 295]",0.0,"[0, -320]"
3.2698490619659424,"[2, 295]",0.0,"[0, -320]"
3.304654121398926,"[2, 295]",0.0,"[0, -320]"
3.329867362976074,"[2, 295]",0.0,"[0, -320]"
3.359555721282959,"[2, 295]",0.0,"[0, -320]"
3.385587692260742,"[2, 295]",0.0,"[0, -320]"
3.4097838401794434,"[2, 295]",0.0,"[0, -320]"
3.4395523071289062,"[2, 295]",0.0,"[0, -320]"
3.4695727825164795,"[2, 295]",0.0,"[0, -320]"
3.499537944793701,"[2, 295]",0.0,"[0, -320]"
3.5295443534851074,"[2, 295]",0.0,"[0, -320]"
3.5597705841064453,"[2, 295]",0.0,"[0, -320]"
3.5895349979400635,"[2, 295]",0.0,"[0, -320]"
3.619685649871826,"[2, 295]",0.0,"[0, -320]"
3.654773473739624,"[2, 295]",0.0,"[0, -320]"
0.06624484062194824,"[-1, 216]",0.05,"[0, -320]"
0.09029626846313477,"[-1, 219]",0.05,"[0, -320]"
0.1286168098449707,"[-1, 221]",0.05,"[0, -320]"
0.15130043029785156,"[-1, 222]",0.05,"[0, -320]"
0.18523240089416504,"[-1, 223]",0.05,"[0, -320]"
0.21033501625061035,"[-1, 225]",0.05,"[0, -320]"
0.2399122714996338,"[-1, 227]",0.05,"[0, -320]"
0.2602500915527344,"[-1, 231]",0.05,"[0, -320]"
0.29516053199768066,"[-1, 234]",0.05,"[0, -320]"
0.325258731842041,"[-1, 237]",0.05,"[0, -320]"
0.3504045009613037,"[-1, 240]",0.05,"[0, -320]"
0.38001537322998047,"[0, 243]",0.05,"[0, -320]"
0.4098951816558838,"[0, 245]",0.05,"[0, -320]"
0.434950590133667,"[0, 247]",0.05,"[0, -320]"
0.4650402069091797,"[0, 249]",0.05,"[0, -320]"
0.49033379554748535,"[0, 251]",0.05,"[0, -320]"
0.5199496746063232,"[0, 255]",0.05,"[0, -320]"
0.5505530834197998,"[0, 258]",0.05,"[0, -320]"
0.5699183940887451,"[1, 262]",0.05,"[0, -320]"
0.6000001430511475,"[1, 265]",0.05,"[0, -320]"
0.6300301551818848,"[1, 269]",0.05,"[0, -320]"
0.659888505935669,"[1, 271]",0.05,"[0, -320]"
0.6900601387023926,"[1, 273]",0.05,"[0, -320]"
0.7201716899871826,"[2, 276]",0.05,"[0, -320]"
0.7507686614990234,"[2, 278]",0.05,"[0, -320]"
0.7802066802978516,"[2, 281]",0.05,"[0, -320]"
0.8100149631500244,"[2, 285]",0.05,"[0, -320]"
0.8401153087615967,"[2, 287]",0.05,"[0, -320]"
0.8648381233215332,"[3, 291]",0.05,"[0, -320]"
0.8949556350708008,"[3, 293]",0.05,"[0, -320]"
0.9203066825866699,"[3, 294]",0.05,"[0, -320]"
0.9508054256439209,"[2, 297]",0.05,"[0, -320]"
0.9798839092254639,"[2, 297]",0.05,"[0, -320]"
1.00494384765625,"[2, 297]",0.05,"[0, -320]"
1.0300509929656982,"[2, 297]",0.05,"[0, -320]"
1.0599565505981445,"[2, 297]",0.05,"[0, -320]"
1.0902347564697266,"[2, 297]",0.05,"[0, -320]"
1.1200106143951416,"[2, 297]",0.05,"[0, -320]"
1.1402370929718018,"[2, 297]",0.05,"[0, -320]"
1.1749422550201416,"[2, 297]",0.05,"[0, -320]"
1.2050385475158691,"[2, 297]",0.05,"[0, -320]"
1.23012375831604,"[2, 297]",0.05,"[0, -320]"
1.2599058151245117,"[2, 297]",0.05,"[0, -320]"
1.2948477268218994,"[2, 297]",0.05,"[0, -320]"
1.3249359130859375,"[2, 297]",0.05,"[0, -320]"
1.3510372638702393,"[2, 297]",0.05,"[0, -320]"
1.3801040649414062,"[2, 297]",0.05,"[0, -320]"
1.4051144123077393,"[2, 297]",0.05,"[0, -320]"
1.4351882934570312,"[2, 297]",0.05,"[0, -320]"
1.464942216873169,"[2, 297]",0.05,"[0, -320]"
1.4900224208831787,"[2, 297]",0.05,"[0, -320]"
1.5201311111450195,"[2, 297]",0.05,"[0, -320]"
1.5398986339569092,"[2, 297]",0.05,"[0, -320]"
1.5749483108520508,"[2, 297]",0.05,"[0, -320]"
1.600022792816162,"[2, 297]",0.05,"[0, -320]"
1.6250874996185303,"[2, 297]",0.05,"[0, -320]"
1.6511802673339844,"[2, 297]",0.05,"[0, -320]"
1.6798176765441895,"[2, 297]",0.05,"[0, -320]"
1.71016263961792,"[2, 297]",0.05,"[0, -320]"
1.7397589683532715,"[2, 297]",0.05,"[0, -320]"
1.7701435089111328,"[2, 297]",0.05,"[0, -320]"
1.7899296283721924,"[2, 297]",0.05,"[0, -320]"
1.8197755813598633,"[2, 297]",0.05,"[0, -320]"
1.851288080215454,"[2, 297]",0.05,"[0, -320]"
1.8798623085021973,"[2, 297]",0.05,"[0, -320]"
1.8998186588287354,"[2, 297]",0.05,"[0, -320]"
1.9301669597625732,"[2, 297]",0.05,"[0, -320]"
1.9601514339447021,"[2, 297]",0.05,"[0, -320]"
1.9902429580688477,"[2, 297]",0.05,"[0, -320]"
2.020108222961426,"[2, 297]",0.05,"[0, -320]"
2.044778347015381,"[2, 297]",0.05,"[0, -320]"
2.0749564170837402,"[2, 297]",0.05,"[0, -320]"
2.1000282764434814,"[2, 297]",0.05,"[0, -320]"
2.130139112472534,"[2, 297]",0.05,"[0, -320]"
2.1552133560180664,"[2, 297]",0.05,"[0, -320]"
2.1848251819610596,"[2, 297]",0.05,"[0, -320]"
2.20995831489563,"[2, 297]",0.05,"[0, -320]"
2.240034580230713,"[2, 297]",0.05,"[0, -320]"
2.264979362487793,"[2, 297]",0.05,"[0, -320]"
2.295149564743042,"[2, 297]",0.05,"[0, -320]"
2.3252949714660645,"[2, 297]",0.05,"[0, -320]"
2.3514626026153564,"[2, 297]",0.05,"[0, -320]"
2.3800125122070312,"[2, 297]",0.05,"[0, -320]"
2.410313844680786,"[2, 297]",0.05,"[0, -320]"
2.4398891925811768,"[2, 297]",0.05,"[0, -320]"
2.465289831161499,"[2, 297]",0.05,"[0, -320]"
2.4898808002471924,"[2, 297]",0.05,"[0, -320]"
2.51999568939209,"[2, 297]",0.05,"[0, -320]"
2.5499320030212402,"[2, 297]",0.05,"[0, -320]"
2.5800373554229736,"[2, 297]",0.05,"[0, -320]"
2.6051065921783447,"[2, 297]",0.05,"[0, -320]"
2.6302313804626465,"[2, 297]",0.05,"[0, -320]"
2.660338878631592,"[2, 297]",0.05,"[0, -320]"
2.689908504486084,"[2, 297]",0.05,"[0, -320]"
2.7103657722473145,"[2, 297]",0.05,"[0, -320]"
2.739980936050415,"[2, 297]",0.05,"[0, -320]"
2.7701480388641357,"[2, 297]",0.05,"[0, -320]"
2.800218343734741,"[2, 297]",0.05,"[0, -320]"
2.830368995666504,"[2, 297]",0.05,"[0, -320]"
2.8519322872161865,"[2, 297]",0.05,"[0, -320]"
2.880065679550171,"[2, 297]",0.05,"[0, -320]"
2.9103810787200928,"[2, 297]",0.05,"[0, -320]"
2.939983606338501,"[2, 297]",0.05,"[0, -320]"
2.965050220489502,"[2, 297]",0.05,"[0, -320]"
2.9952149391174316,"[2, 297]",0.05,"[0, -320]"
