t,Particle Location,Coil_Current,Coil_Location
0.065014839,"[-2, -245]",0.1,"[0, 320]"
0.076250076,"[-6, -249]",0.1,"[0, 320]"
0.093656063,"[-8, -251]",0.1,"[0, 320]"
0.122390032,"[-10, -253]",0.1,"[0, 320]"
0.142268896,"[-11, -255]",0.1,"[0, 320]"
0.157888651,"[-13, -257]",0.1,"[0, 320]"
0.173510551,"[-14, -259]",0.1,"[0, 320]"
0.18913126,"[-16, -261]",0.1,"[0, 320]"
0.204752922,"[-17, -263]",0.1,"[0, 320]"
0.222436905,"[-18, -264]",0.1,"[0, 320]"
0.238060951,"[-20, -266]",0.1,"[0, 320]"
0.253682137,"[-21, -269]",0.1,"[0, 320]"
0.269307137,"[-22, -271]",0.1,"[0, 320]"
0.300545931,"[-24, -274]",0.1,"[0, 320]"
0.316169739,"[-25, -277]",0.1,"[0, 320]"
0.322679281,"[-27, -280]",0.1,"[0, 320]"
0.353929758,"[-28, -283]",0.1,"[0, 320]"
0.369551182,"[-30, -287]",0.1,"[0, 320]"
0.38517499,"[-31, -290]",0.1,"[0, 320]"
0.400821447,"[-32, -292]",0.1,"[0, 320]"
0.422945738,"[-33, -295]",0.1,"[0, 320]"
0.438569784,"[-34, -298]",0.1,"[0, 320]"
0.454191446,"[-36, -301]",0.1,"[0, 320]"
0.469840765,"[-37, -304]",0.1,"[0, 320]"
0.485463142,"[-38, -307]",0.1,"[0, 320]"
0.501082897,"[-39, -311]",0.1,"[0, 320]"
0.523214579,"[-40, -314]",0.1,"[0, 320]"
0.538866758,"[-41, -316]",0.1,"[0, 320]"
0.554487705,"[-43, -320]",0.1,"[0, 320]"
0.570084572,"[-44, -324]",0.1,"[0, 320]"
0.601352453,"[-45, -327]",0.1,"[0, 320]"
0.616945267,"[-47, -333]",0.1,"[0, 320]"
0.623449326,"[-47, -333]",0.1,"[0, 320]"
0.639076471,"[-47, -333]",0.1,"[0, 320]"
0.670345306,"[-47, -333]",0.1,"[0, 320]"
0.68593812,"[-47, -333]",0.1,"[0, 320]"
0.701559305,"[-47, -333]",0.1,"[0, 320]"
0.717181206,"[-47, -333]",0.1,"[0, 320]"
0.739370584,"[-47, -333]",0.1,"[0, 320]"
0.754964113,"[-47, -333]",0.1,"[0, 320]"
0.77058506,"[-47, -333]",0.1,"[0, 320]"
0.786207199,"[-47, -333]",0.1,"[0, 320]"
0.801861286,"[-47, -333]",0.1,"[0, 320]"
0.823984861,"[-47, -333]",0.1,"[0, 320]"
0.839609146,"[-47, -333]",0.1,"[0, 320]"
0.855258226,"[-47, -333]",0.1,"[0, 320]"
0.87087965,"[-47, -333]",0.1,"[0, 320]"
0.886502743,"[-47, -333]",0.1,"[0, 320]"
0.902122974,"[-47, -333]",0.1,"[0, 320]"
0.924227238,"[-47, -333]",0.1,"[0, 320]"
0.939879417,"[-47, -333]",0.1,"[0, 320]"
0.955473423,"[-47, -333]",0.1,"[0, 320]"
0.971096039,"[-47, -333]",0.1,"[0, 320]"
0.986721277,"[-47, -333]",0.1,"[0, 320]"
1.017958641,"[-47, -333]",0.1,"[0, 320]"
1.024463654,"[-47, -333]",0.1,"[0, 320]"
1.040091276,"[-47, -333]",0.1,"[0, 320]"
1.071331739,"[-47, -333]",0.1,"[0, 320]"
1.118196011,"[-47, -333]",0.1,"[0, 320]"
1.124704599,"[-47, -333]",0.1,"[0, 320]"
1.155954123,"[-47, -333]",0.1,"[0, 320]"
1.171575308,"[-47, -333]",0.1,"[0, 320]"
1.18719697,"[-47, -333]",0.1,"[0, 320]"
1.218440771,"[-47, -333]",0.1,"[0, 320]"
1.224946499,"[-47, -333]",0.1,"[0, 320]"
1.256192684,"[-47, -333]",0.1,"[0, 320]"
1.271813869,"[-47, -333]",0.1,"[0, 320]"
1.287435055,"[-47, -333]",0.1,"[0, 320]"
1.30305624,"[-47, -333]",0.1,"[0, 320]"
1.325187683,"[-47, -333]",0.1,"[0, 320]"
1.340812445,"[-47, -333]",0.1,"[0, 320]"
1.356433392,"[-47, -333]",0.1,"[0, 320]"
1.372057199,"[-47, -333]",0.1,"[0, 320]"
1.403297663,"[-47, -333]",0.1,"[0, 320]"
1.418919325,"[-47, -333]",0.1,"[0, 320]"
1.425427437,"[-47, -333]",0.1,"[0, 320]"
1.456676483,"[-47, -333]",0.1,"[0, 320]"
1.472297668,"[-47, -333]",0.1,"[0, 320]"
1.487919331,"[-47, -333]",0.1,"[0, 320]"
1.503542662,"[-47, -333]",0.1,"[0, 320]"
1.525667429,"[-47, -333]",0.1,"[0, 320]"
1.541293621,"[-47, -333]",0.1,"[0, 320]"
1.556914568,"[-47, -333]",0.1,"[0, 320]"
1.572538137,"[-47, -333]",0.1,"[0, 320]"
1.603779316,"[-47, -333]",0.1,"[0, 320]"
1.619400501,"[-47, -333]",0.1,"[0, 320]"
1.625930309,"[-47, -333]",0.1,"[0, 320]"
1.657180309,"[-47, -333]",0.1,"[0, 320]"
1.672801733,"[-47, -333]",0.1,"[0, 320]"
1.68842411,"[-47, -333]",0.1,"[0, 320]"
1.704044342,"[-47, -333]",0.1,"[0, 320]"
1.726178408,"[-47, -333]",0.1,"[0, 320]"
1.741803169,"[-47, -333]",0.1,"[0, 320]"
1.773044825,"[-47, -333]",0.1,"[0, 320]"
1.78866601,"[-47, -333]",0.1,"[0, 320]"
1.80428791,"[-47, -333]",0.1,"[0, 320]"
1.826416731,"[-47, -333]",0.1,"[0, 320]"
1.842042208,"[-47, -333]",0.1,"[0, 320]"
1.857664108,"[-47, -333]",0.1,"[0, 320]"
1.873286963,"[-47, -333]",0.1,"[0, 320]"
1.888906479,"[-47, -333]",0.1,"[0, 320]"
1.904527426,"[-47, -333]",0.1,"[0, 320]"
1.926664352,"[-47, -333]",0.1,"[0, 320]"
