####################
/var/spool/slurmd/job4957109/slurm_script
####################
--batch-size 64 --exc train --goal-reset False --num-eval 100 --reward-type delta_r --rollout-steps 2048 --text-verbosity True --total-timesteps 2500000 --train-episode-time-limit 15 --train-fps 10 --train-render-fps 120 --train-verbosity True
####################

Using cpu device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 151      |
|    ep_rew_mean     | -3.73    |
| time/              |          |
|    fps             | 9        |
|    iterations      | 1        |
|    time_elapsed    | 205      |
|    total_timesteps | 2048     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.72       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 2           |
|    time_elapsed         | 412         |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.013747837 |
|    clip_fraction        | 0.153       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.3       |
|    explained_variance   | 0.238       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0403     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0304     |
|    std                  | 0.995       |
|    value_loss           | 0.0749      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.72       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 3           |
|    time_elapsed         | 618         |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.011493841 |
|    clip_fraction        | 0.121       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.3       |
|    explained_variance   | 0.428       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0287     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.03       |
|    std                  | 0.998       |
|    value_loss           | 0.045       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.72       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 4           |
|    time_elapsed         | 824         |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.014064454 |
|    clip_fraction        | 0.153       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.3       |
|    explained_variance   | 0.449       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00755    |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0313     |
|    std                  | 0.993       |
|    value_loss           | 0.0263      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.7        |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 5           |
|    time_elapsed         | 1030        |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.014541216 |
|    clip_fraction        | 0.16        |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.3       |
|    explained_variance   | 0.187       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.055      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0361     |
|    std                  | 0.987       |
|    value_loss           | 0.0187      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.69       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 6           |
|    time_elapsed         | 1236        |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.017646745 |
|    clip_fraction        | 0.186       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | 0.124       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0506     |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.034      |
|    std                  | 0.984       |
|    value_loss           | 0.0119      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.69       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 7           |
|    time_elapsed         | 1442        |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.017178603 |
|    clip_fraction        | 0.185       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | 0.457       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0376     |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0365     |
|    std                  | 0.98        |
|    value_loss           | 0.0122      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.68       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 8           |
|    time_elapsed         | 1647        |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.015383639 |
|    clip_fraction        | 0.163       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | 0.129       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0263     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0324     |
|    std                  | 0.975       |
|    value_loss           | 0.00887     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.68       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 9           |
|    time_elapsed         | 1853        |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.017779134 |
|    clip_fraction        | 0.189       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.1       |
|    explained_variance   | -0.084      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0368     |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0342     |
|    std                  | 0.972       |
|    value_loss           | 0.00762     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.67       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 10          |
|    time_elapsed         | 2059        |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.019063715 |
|    clip_fraction        | 0.199       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.1       |
|    explained_variance   | -0.416      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.058      |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.035      |
|    std                  | 0.968       |
|    value_loss           | 0.00673     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.66       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 11          |
|    time_elapsed         | 2265        |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.017231846 |
|    clip_fraction        | 0.188       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.1       |
|    explained_variance   | -0.355      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0458     |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0343     |
|    std                  | 0.966       |
|    value_loss           | 0.0057      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.67       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 12          |
|    time_elapsed         | 2471        |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.019549072 |
|    clip_fraction        | 0.206       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.1       |
|    explained_variance   | -0.171      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0421     |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0392     |
|    std                  | 0.965       |
|    value_loss           | 0.00522     |
-----------------------------------------
Eval num_timesteps=25000, episode_reward=-3.69 +/- 0.11
Episode length: 151.00 +/- 0.00
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 151         |
|    mean_reward          | -3.69       |
| time/                   |             |
|    total_timesteps      | 25000       |
| train/                  |             |
|    approx_kl            | 0.020660657 |
|    clip_fraction        | 0.224       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.1       |
|    explained_variance   | -0.428      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0444     |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0344     |
|    std                  | 0.963       |
|    value_loss           | 0.00451     |
-----------------------------------------
New best mean reward!
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 150      |
|    ep_rew_mean     | -3.83    |
| time/              |          |
|    fps             | 9        |
|    iterations      | 13       |
|    time_elapsed    | 2753     |
|    total_timesteps | 26624    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.83       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 14          |
|    time_elapsed         | 2958        |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.018584842 |
|    clip_fraction        | 0.202       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
