####################
/var/spool/slurmd/job4977181/slurm_script
####################
--batch-size 64 --exc train --goal-reset False --num-eval 100 --reward-type delta_r --rollout-steps 2048 --text-verbosity True --total-timesteps 2500000 --train-episode-time-limit 15 --train-fps None --train-render-fps None --train-verbosity True
####################

Using cpu device
-----------------------------
| time/              |      |
|    fps             | 230  |
|    iterations      | 1    |
|    time_elapsed    | 8    |
|    total_timesteps | 2048 |
-----------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.2e+03     |
|    ep_rew_mean          | -3.47       |
| time/                   |             |
|    fps                  | 216         |
|    iterations           | 2           |
|    time_elapsed         | 18          |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.011026296 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.4       |
|    explained_variance   | 0.624       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0361     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.016      |
|    std                  | 1           |
|    value_loss           | 0.00354     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.2e+03     |
|    ep_rew_mean          | -3.47       |
| time/                   |             |
|    fps                  | 213         |
|    iterations           | 3           |
|    time_elapsed         | 28          |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.014259364 |
|    clip_fraction        | 0.163       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.3       |
|    explained_variance   | 0.894       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0423     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0208     |
|    std                  | 0.992       |
|    value_loss           | 0.0113      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.08e+03    |
|    ep_rew_mean          | -3.58       |
| time/                   |             |
|    fps                  | 210         |
|    iterations           | 4           |
|    time_elapsed         | 38          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.010133571 |
|    clip_fraction        | 0.118       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.3       |
|    explained_variance   | 0.702       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0334     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0133     |
|    std                  | 0.994       |
|    value_loss           | 0.00435     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.11e+03    |
|    ep_rew_mean          | -3.68       |
| time/                   |             |
|    fps                  | 209         |
|    iterations           | 5           |
|    time_elapsed         | 48          |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.010313522 |
|    clip_fraction        | 0.115       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.3       |
|    explained_variance   | 0.878       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0313     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0152     |
|    std                  | 0.997       |
|    value_loss           | 0.0104      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.11e+03    |
|    ep_rew_mean          | -3.68       |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 6           |
|    time_elapsed         | 59          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.012668518 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.3       |
|    explained_variance   | 0.844       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0391      |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0163     |
|    std                  | 0.996       |
|    value_loss           | 0.00338     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 3.07e+03     |
|    ep_rew_mean          | -3.65        |
| time/                   |              |
|    fps                  | 207          |
|    iterations           | 7            |
|    time_elapsed         | 69           |
|    total_timesteps      | 14336        |
| train/                  |              |
|    approx_kl            | 0.0102229845 |
|    clip_fraction        | 0.14         |
|    clip_range           | 0.2          |
|    entropy_loss         | -11.3        |
|    explained_variance   | 0.28         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00123      |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00979     |
|    std                  | 0.994        |
|    value_loss           | 0.00544      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.11e+03    |
|    ep_rew_mean          | -3.63       |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 8           |
|    time_elapsed         | 79          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.016702289 |
|    clip_fraction        | 0.214       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.3       |
|    explained_variance   | 0.331       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0219     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0201     |
|    std                  | 0.994       |
|    value_loss           | 0.00225     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.11e+03    |
|    ep_rew_mean          | -3.63       |
| time/                   |             |
|    fps                  | 206         |
|    iterations           | 9           |
|    time_elapsed         | 89          |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.011387903 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.3       |
|    explained_variance   | 0.894       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0278     |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0146     |
|    std                  | 0.997       |
|    value_loss           | 0.00371     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.07e+03   |
|    ep_rew_mean          | -3.65      |
| time/                   |            |
|    fps                  | 205        |
|    iterations           | 10         |
|    time_elapsed         | 99         |
|    total_timesteps      | 20480      |
| train/                  |            |
|    approx_kl            | 0.01699452 |
