####################
/var/spool/slurmd/job4979567/slurm_script
####################
--batch-size 64 --exc train --goal-reset False --num-eval 100 --reward-type delta_r --rollout-steps 2048 --text-verbosity True --total-timesteps 2500000 --train-episode-time-limit 15 --train-fps None --train-render-fps 120 --train-verbosity True
####################

Using cpu device
-----------------------------
| time/              |      |
|    fps             | 204  |
|    iterations      | 1    |
|    time_elapsed    | 10   |
|    total_timesteps | 2048 |
-----------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.63e+03    |
|    ep_rew_mean          | -99.5       |
| time/                   |             |
|    fps                  | 189         |
|    iterations           | 2           |
|    time_elapsed         | 21          |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.015214866 |
|    clip_fraction        | 0.169       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.3       |
|    explained_variance   | -0.317      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00891    |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0268     |
|    std                  | 0.999       |
|    value_loss           | 0.108       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.89e+03    |
|    ep_rew_mean          | -99.5       |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 3           |
|    time_elapsed         | 31          |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.013657392 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.3       |
|    explained_variance   | 0.566       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.029      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.029      |
|    std                  | 0.998       |
|    value_loss           | 0.209       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.89e+03    |
|    ep_rew_mean          | -99.5       |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 4           |
|    time_elapsed         | 41          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.014153798 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.3       |
|    explained_variance   | -0.585      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0221     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0302     |
|    std                  | 0.996       |
|    value_loss           | 0.0641      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.9e+03     |
|    ep_rew_mean          | -99.3       |
| time/                   |             |
|    fps                  | 197         |
|    iterations           | 5           |
|    time_elapsed         | 51          |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.014014435 |
|    clip_fraction        | 0.187       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.3       |
|    explained_variance   | -0.961      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0264      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0247     |
|    std                  | 0.993       |
|    value_loss           | 0.0682      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.96e+03    |
|    ep_rew_mean          | -99.4       |
| time/                   |             |
|    fps                  | 198         |
|    iterations           | 6           |
|    time_elapsed         | 61          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.015248405 |
|    clip_fraction        | 0.181       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.3       |
|    explained_variance   | 0.526       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0433     |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0302     |
|    std                  | 0.986       |
|    value_loss           | 0.0495      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.96e+03    |
|    ep_rew_mean          | -99.4       |
| time/                   |             |
|    fps                  | 199         |
|    iterations           | 7           |
|    time_elapsed         | 71          |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.015980206 |
|    clip_fraction        | 0.174       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | 0.244       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0484     |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0279     |
|    std                  | 0.987       |
|    value_loss           | 0.0446      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.96e+03    |
|    ep_rew_mean          | -99.5       |
| time/                   |             |
|    fps                  | 199         |
|    iterations           | 8           |
|    time_elapsed         | 81          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.014649751 |
|    clip_fraction        | 0.173       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | 0.00744     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0274     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0244     |
|    std                  | 0.983       |
|    value_loss           | 0.0395      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3e+03       |
|    ep_rew_mean          | -99.5       |
| time/                   |             |
|    fps                  | 200         |
|    iterations           | 9           |
|    time_elapsed         | 91          |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.021347404 |
|    clip_fraction        | 0.221       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | 0.651       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0279      |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0325     |
|    std                  | 0.977       |
|    value_loss           | 0.0429      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3e+03       |
|    ep_rew_mean          | -99.5       |
| time/                   |             |
|    fps                  | 200         |
|    iterations           | 10          |
|    time_elapsed         | 101         |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.016232248 |
|    clip_fraction        | 0.18        |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.1       |
|    explained_variance   | 0.337       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0458     |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0275     |
|    std                  | 0.972       |
|    value_loss           | 0.0427      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.99e+03    |
|    ep_rew_mean          | -99.6       |
| time/                   |             |
|    fps                  | 200         |
|    iterations           | 11          |
|    time_elapsed         | 112         |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.016481133 |
|    clip_fraction        | 0.181       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.1       |
|    explained_variance   | -0.989      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0114     |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0204     |
|    std                  | 0.975       |
|    value_loss           | 0.0462      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3e+03       |
|    ep_rew_mean          | -99.5       |
| time/                   |             |
|    fps                  | 200         |
|    iterations           | 12          |
|    time_elapsed         | 122         |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.019413307 |
|    clip_fraction        | 0.219       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.1       |
|    explained_variance   | 0.567       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.000719   |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.032      |
|    std                  | 0.971       |
|    value_loss           | 0.0609      |
-----------------------------------------
Eval num_timesteps=25000, episode_reward=-99.57 +/- 0.23
Episode length: 4659.40 +/- 1147.05
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 4.66e+03    |
|    mean_reward          | -99.6       |
| time/                   |             |
|    total_timesteps      | 25000       |
| train/                  |             |
|    approx_kl            | 0.018808857 |
|    clip_fraction        | 0.228       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.1       |
|    explained_variance   | 0.439       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0194     |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0298     |
|    std                  | 0.969       |
|    value_loss           | 0.0503      |
-----------------------------------------
New best mean reward!
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 2.78e+03 |
|    ep_rew_mean     | -148     |
| time/              |          |
|    fps             | 128      |
|    iterations      | 13       |
|    time_elapsed    | 207      |
|    total_timesteps | 26624    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 2.83e+03     |
|    ep_rew_mean          | -143         |
| time/                   |              |
|    fps                  | 132          |
|    iterations           | 14           |
|    time_elapsed         | 216          |
|    total_timesteps      | 28672        |
| train/                  |              |
|    approx_kl            | 0.0059341835 |
|    clip_fraction        | 0.0604       |
|    clip_range           | 0.2          |
|    entropy_loss         | -11.1        |
|    explained_variance   | -0.00141     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.12e+03     |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.00898     |
|    std                  | 0.968        |
|    value_loss           | 990          |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.83e+03   |
|    ep_rew_mean          | -143       |
| time/                   |            |
|    fps                  | 135        |
|    iterations           | 15         |
|    time_elapsed         | 226        |
|    total_timesteps      | 30720      |
| train/                  |            |
|    approx_kl            | 0.01508692 |
|    clip_fraction        | 0.15       |
|    clip_range           | 0.2        |
|    entropy_loss         | -11.1      |
|    explained_variance   | 0.844      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0514     |
|    n_updates            | 140        |
|    policy_gradient_loss | -0.0264    |
|    std                  | 0.968      |
|    value_loss           | 0.39       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.85e+03    |
|    ep_rew_mean          | -139        |
| time/                   |             |
|    fps                  | 138         |
|    iterations           | 16          |
|    time_elapsed         | 235         |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.020230025 |
|    clip_fraction        | 0.224       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.1       |
|    explained_variance   | -0.213      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.229       |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0254     |
|    std                  | 0.966       |
|    value_loss           | 0.621       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.85e+03   |
|    ep_rew_mean          | -139       |
| time/                   |            |
|    fps                  | 141        |
|    iterations           | 17         |
|    time_elapsed         | 245        |
|    total_timesteps      | 34816      |
| train/                  |            |
|    approx_kl            | 0.01907073 |
|    clip_fraction        | 0.249      |
|    clip_range           | 0.2        |
|    entropy_loss         | -11.1      |
|    explained_variance   | 0.00838    |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0043     |
|    n_updates            | 160        |
|    policy_gradient_loss | -0.027     |
|    std                  | 0.967      |
|    value_loss           | 0.131      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.9e+03     |
|    ep_rew_mean          | -136        |
| time/                   |             |
|    fps                  | 144         |
|    iterations           | 18          |
|    time_elapsed         | 255         |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.021957977 |
|    clip_fraction        | 0.257       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.1       |
|    explained_variance   | 0.193       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0202     |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0302     |
|    std                  | 0.961       |
|    value_loss           | 0.0591      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.93e+03    |
|    ep_rew_mean          | -134        |
| time/                   |             |
|    fps                  | 146         |
|    iterations           | 19          |
|    time_elapsed         | 264         |
|    total_timesteps      | 38912       |
| train/                  |             |
|    approx_kl            | 0.017692436 |
|    clip_fraction        | 0.205       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | 0.204       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0688      |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0224     |
|    std                  | 0.956       |
|    value_loss           | 0.337       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.93e+03    |
|    ep_rew_mean          | -134        |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 20          |
|    time_elapsed         | 274         |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.022046823 |
|    clip_fraction        | 0.232       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | 0.877       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0239     |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.0274     |
|    std                  | 0.958       |
|    value_loss           | 0.0889      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.94e+03    |
|    ep_rew_mean          | -131        |
| time/                   |             |
|    fps                  | 151         |
|    iterations           | 21          |
|    time_elapsed         | 284         |
|    total_timesteps      | 43008       |
| train/                  |             |
|    approx_kl            | 0.023963327 |
|    clip_fraction        | 0.241       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | 0.116       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.011       |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0229     |
|    std                  | 0.953       |
|    value_loss           | 0.0509      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.96e+03    |
|    ep_rew_mean          | -129        |
| time/                   |             |
|    fps                  | 153         |
|    iterations           | 22          |
|    time_elapsed         | 294         |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.019825915 |
|    clip_fraction        | 0.239       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | 0.854       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0121     |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0207     |
|    std                  | 0.95        |
|    value_loss           | 0.131       |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 2.96e+03  |
|    ep_rew_mean          | -129      |
| time/                   |           |
|    fps                  | 155       |
|    iterations           | 23        |
|    time_elapsed         | 303       |
|    total_timesteps      | 47104     |
| train/                  |           |
|    approx_kl            | 0.0152405 |
|    clip_fraction        | 0.183     |
|    clip_range           | 0.2       |
|    entropy_loss         | -10.9     |
|    explained_variance   | 0.933     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0188   |
|    n_updates            | 220       |
|    policy_gradient_loss | -0.0197   |
|    std                  | 0.953     |
|    value_loss           | 0.063     |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.97e+03    |
|    ep_rew_mean          | -127        |
| time/                   |             |
|    fps                  | 156         |
|    iterations           | 24          |
|    time_elapsed         | 313         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.018736634 |
|    clip_fraction        | 0.203       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | 0.298       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00485     |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0207     |
|    std                  | 0.948       |
|    value_loss           | 0.0388      |
-----------------------------------------
Eval num_timesteps=50000, episode_reward=-99.84 +/- 0.35
Episode length: 5158.00 +/- 1258.76
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 5.16e+03    |
|    mean_reward          | -99.8       |
| time/                   |             |
|    total_timesteps      | 50000       |
| train/                  |             |
|    approx_kl            | 0.021183124 |
|    clip_fraction        | 0.251       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | -0.139      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0241     |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0213     |
|    std                  | 0.948       |
|    value_loss           | 0.0466      |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 2.94e+03 |
|    ep_rew_mean     | -154     |
| time/              |          |
|    fps             | 128      |
|    iterations      | 25       |
|    time_elapsed    | 397      |
|    total_timesteps | 51200    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.94e+03    |
|    ep_rew_mean          | -154        |
| time/                   |             |
|    fps                  | 130         |
|    iterations           | 26          |
|    time_elapsed         | 406         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.011168495 |
|    clip_fraction        | 0.128       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | 0.00758     |
|    learning_rate        | 0.0003      |
|    loss                 | 813         |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.00744    |
|    std                  | 0.948       |
|    value_loss           | 1.03e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.96e+03    |
|    ep_rew_mean          | -151        |
| time/                   |             |
|    fps                  | 132         |
|    iterations           | 27          |
|    time_elapsed         | 417         |
|    total_timesteps      | 55296       |
| train/                  |             |
|    approx_kl            | 0.024739861 |
|    clip_fraction        | 0.262       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | -1.07       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0029     |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.013      |
|    std                  | 0.949       |
|    value_loss           | 0.0565      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.97e+03    |
|    ep_rew_mean          | -148        |
| time/                   |             |
|    fps                  | 134         |
|    iterations           | 28          |
|    time_elapsed         | 426         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.018198283 |
|    clip_fraction        | 0.196       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | -0.201      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.212       |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0266     |
|    std                  | 0.947       |
|    value_loss           | 0.591       |
-----------------------------------------
