Iteration,Episode,FPS,Time Elapsed (s),Total Timesteps,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,1,8,235.03610706329346,2048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,4,475.84113669395447,4096,0.012521716,0.15224609375,-11.349902081489564,0.04224592447280884,0.0003,2.71711802482605,-0.021115315399947578,0.9998325705528259,5.533130725473166
3,2,2,711.7196900844574,6144,0.0110491365,0.128173828125,-11.363565176725388,0.4059777855873108,0.0003,2.057920455932617,-0.019407305913046003,1.0017926692962646,4.132022550702095
4,3,3,945.5698750019073,8192,0.011169286,0.11796875,-11.359102630615235,0.43083280324935913,0.0003,2.579400062561035,-0.020979308515961748,1.0000979900360107,4.922584989666939
5,5,1,2981.6325330734253,10240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,5,0,3216.6917011737823,12288,0.006494148,0.0453125,-11.364643475413322,-0.003512740135192871,0.0003,7.405905723571777,-0.004699623517808504,1.0024502277374268,1023.5279448918998
7,6,4,3452.6299595832825,14336,0.013409909,0.137841796875,-11.39190211892128,-0.014338850975036621,0.0003,1.4338334798812866,-0.015488413404091262,1.007820725440979,3.5102027729153633
8,7,5,3688.1372969150543,16384,0.0100720115,0.1154296875,-11.416934567689896,0.5104505717754364,0.0003,2.010885000228882,-0.01783660478249658,1.0090525150299072,3.52292885184288
9,7,3,3925.694349050522,18432,0.017821038,0.1783203125,-11.392033246159553,0.4942784905433655,0.0003,1.3927152156829834,-0.021172628689964768,1.0027261972427368,3.4424044039100408
10,9,1,5960.968795061111,20480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,9,0,6192.860316753387,22528,0.0073184143,0.069091796875,-11.352226701378822,0.023760557174682617,0.0003,1738.95263671875,-0.006650414456817089,1.0002361536026,1042.7339045830072
12,10,3,6425.274685382843,24576,0.01642014,0.1779296875,-11.325139611959457,0.5360197722911835,0.0003,2.2362568378448486,-0.01938494501519017,0.9946750998497009,4.26536148712039
13,11,5,6656.277118444443,26624,0.015640484,0.21171875,-11.28002772629261,0.29387152194976807,0.0003,1.4406380653381348,-0.015319285613077226,0.9885637760162354,3.6888792753219604
14,11,3,6885.1905608177185,28672,0.018890973,0.231201171875,-11.231890687346459,0.2497464418411255,0.0003,2.0039825439453125,-0.025265742639021482,0.9825637936592102,3.892288902029395
15,13,1,8915.621179103851,30720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,13,0,9144.214103221893,32768,0.012262058,0.12373046875,-11.144069543480873,-0.0028901100158691406,0.0003,67.86316680908203,-0.008837466986733489,0.9734545350074768,1043.7455710843205
17,14,3,9374.230367898941,34816,0.01939,0.225341796875,-11.116081795096397,-0.017134428024291992,0.0003,2.448293447494507,-0.017340604122728108,0.9690182209014893,4.776327683031559
18,15,5,9603.188118934631,36864,0.019137383,0.21845703125,-11.08174171745777,0.27999478578567505,0.0003,1.9304089546203613,-0.014726911258185283,0.9654303789138794,3.1228369317948816
19,15,3,9835.25309753418,38912,0.015684087,0.2033203125,-11.057530084252358,0.18738001585006714,0.0003,2.221017360687256,-0.01857371801888803,0.9623955488204956,3.281964224949479
20,17,1,11866.007229328156,40960,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,17,0,12094.989002943039,43008,0.0109235905,0.1287109375,-10.96540234386921,-0.0011119842529296875,0.0003,7.940684795379639,-0.007879484984732699,0.9528261423110962,1048.8604701817035
22,18,3,12324.270018577576,45056,0.021292612,0.24482421875,-10.951384061574936,0.08173012733459473,0.0003,1.5680822134017944,-0.011778615845832974,0.9504290223121643,3.051023632287979
23,19,4,12553.321279287338,47104,0.019465508,0.238720703125,-10.92409996688366,0.15339303016662598,0.0003,1.7983006238937378,-0.008428264531539753,0.9467082023620605,3.0425539202988148
24,19,3,12781.50385427475,49152,0.018019475,0.216943359375,-10.877481710910796,-0.024573922157287598,0.0003,1.5685627460479736,-0.015379801689414307,0.9392703175544739,3.7729229513555764
25,21,1,14811.148934602737,51200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26,22,5,15041.015416145325,53248,0.015219068,0.203125,-10.857244712114333,-0.0018417835235595703,0.0003,462.6770935058594,-0.0063243346157833,0.9406309723854065,1035.910031297803
