Iteration,Episode,FPS,Time Elapsed (s),Total Timesteps,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,1,9,204.8331229686737,2048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,4,416.75875639915466,4096,0.012678469,0.1552734375,-11.359532809257507,0.31549733877182007,0.0003,15.713186264038086,-0.021356181823648512,1.0013765096664429,46.0375351190567
3,2,3,622.1119816303253,6144,0.009524794,0.101953125,-11.352745494246482,-0.41569840908050537,0.0003,19.524002075195312,-0.017384668576414696,0.9990395307540894,41.4520122230053
4,3,4,827.5132095813751,8192,0.010837367,0.11943359375,-11.331838387250901,0.35185593366622925,0.0003,13.145406723022461,-0.021889859793009236,0.996178150177002,39.65463427901268
5,4,0,2833.510373353958,10240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,4,0,3038.865077018738,12288,0.009221924,0.07490234375,-11.30681454539299,-0.00013434886932373047,0.0003,21.697099685668945,-0.011496858250757214,0.9950197339057922,1038.7778397917748
7,5,4,3244.405676841736,14336,0.008799758,0.07197265625,-11.303245276212692,0.16888397932052612,0.0003,7.422703742980957,-0.014700947517121676,0.9929339289665222,34.31791503727436
8,5,3,3449.746199607849,16384,0.0075571667,0.06025390625,-11.298670932650566,0.3057657480239868,0.0003,8.511514663696289,-0.01318499640765367,0.9939378499984741,28.659729006886483
9,6,4,3655.1277565956116,18432,0.0076200697,0.074560546875,-11.292155548930168,0.3070445656776428,0.0003,8.829133033752441,-0.015161317885213067,0.9912694692611694,26.420705500245095
10,7,0,5661.3109221458435,20480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,7,0,5866.654184341431,22528,0.0032800224,0.018017578125,-11.276318025588989,0.00755465030670166,0.0003,99.08139038085938,-0.0025310981278380495,0.9908720254898071,1067.2340484678746
12,8,4,6072.033085107803,24576,0.0056816232,0.02275390625,-11.27496983408928,0.6048759818077087,0.0003,6.904256343841553,-0.008722668786322173,0.9901474118232727,12.681988860666753
13,8,3,6277.374688386917,26624,0.0075184517,0.0568359375,-11.263645419478417,-0.8758596181869507,0.0003,4.047627925872803,-0.012350802461151033,0.9877780675888062,13.64987323731184
14,9,4,6482.756577968597,28672,0.0068267775,0.040771484375,-11.243083599209786,0.4206024408340454,0.0003,4.267398834228516,-0.009511962854594458,0.9852034449577332,8.74051849991083
15,10,0,8490.899159908295,30720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,10,0,8696.260106563568,32768,0.009943565,0.1521484375,-11.300124222040177,0.0021256208419799805,0.0003,10.186027526855469,-0.0051740059643634595,0.9937512874603271,1035.363205319643
17,11,4,8902.360545396805,34816,0.013751599,0.18154296875,-11.284928274154662,-0.30538785457611084,0.0003,1.2776776552200317,-0.016269852612458634,0.9902660250663757,2.8318715292960404
18,11,2,9109.178778409958,36864,0.007140415,0.08564453125,-11.268428239226342,-2.1767261028289795,0.0003,1.6192877292633057,-0.009696453854849097,0.9893468022346497,14.92185250222683
19,12,3,9314.629393577576,38912,0.009852309,0.107275390625,-11.265329599380493,0.8055244833230972,0.0003,2.945120096206665,-0.009208159357513068,0.990007758140564,7.899190405011177
20,13,0,11320.576886415482,40960,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,13,0,11525.920435905457,43008,0.0018511938,0.00439453125,-11.266469085216523,0.006888926029205322,0.0003,1057.521728515625,-0.001834848198632244,0.9896421432495117,1052.2217943757773
22,14,4,11731.478144168854,45056,0.014869841,0.251416015625,-11.224414452910423,-0.04554343223571777,0.0003,1.2471507787704468,-0.01339400971919531,0.9819382429122925,2.893591096997261
23,14,2,11936.83120894432,47104,0.007909171,0.085791015625,-11.194503885507583,0.07470923662185669,0.0003,1.3977138996124268,-0.004219846619525925,0.9799214601516724,5.256395183131099
24,15,3,12142.209985017776,49152,0.015989212,0.2404296875,-11.206264460086823,0.062049925327301025,0.0003,0.5082246661186218,-0.005067343491828069,0.9821875095367432,1.8547821905463935
25,16,0,14149.376478672028,51200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26,16,0,14354.723422050476,53248,0.0065237805,0.067138671875,-11.196391198039056,0.019313514232635498,0.0003,22.03572654724121,0.0013894985066144727,0.9809290766716003,1055.8453949391842
27,17,3,14560.104934215546,55296,0.015135951,0.184228515625,-11.214826473593712,0.07255977392196655,0.0003,1.044329285621643,-0.011298978317063302,0.985324501991272,1.841058767400682
28,18,5,14765.500494241714,57344,0.004624401,0.045556640625,-11.23109403550625,0.6893004775047302,0.0003,21.231708526611328,-0.0014027832272404338,0.9851903915405273,66.81110059022903
29,18,3,14970.844433546066,59392,0.0013170488,0.00478515625,-11.230901807546616,0.7443783283233643,0.0003,6.915588855743408,-0.006500352050352376,0.9851961135864258,20.628555941581727
30,19,0,16977.66291451454,61440,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,19,0,17183.044256687164,63488,0.001250291,0.000927734375,-11.231183725595475,-0.0006290674209594727,0.0003,442.4786376953125,-0.002257405466662021,0.9851462841033936,1054.1873188704253
