Iteration,Episode,FPS,Time Elapsed (s),Total Timesteps,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,1,9,205.11860966682434,2048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,4,419.8470706939697,4096,0.012570732,0.169775390625,-11.344117105007172,0.0362323522567749,0.0003,19.034788131713867,-0.022839381569065155,0.9989384412765503,37.66723771095276
3,2,3,625.3849856853485,6144,0.010028975,0.10126953125,-11.334983965754509,0.06270062923431396,0.0003,14.756852149963379,-0.01791862333775498,0.9967013001441956,37.86594143509865
4,3,4,830.9819836616516,8192,0.009384969,0.094921875,-11.312999919056892,-0.8090795278549194,0.0003,8.718411445617676,-0.019710092680179515,0.9936583042144775,32.94524954855442
5,4,0,2837.150940179825,10240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,4,0,3042.682291984558,12288,0.008082684,0.058056640625,-11.276315778493881,-0.002064824104309082,0.0003,19.53982162475586,-0.009844315123336856,0.9903718829154968,1050.636478048563
7,5,4,3248.269231081009,14336,0.008442976,0.08251953125,-11.25934539437294,-0.4755154848098755,0.0003,7.962588310241699,-0.017001125247043093,0.986690878868103,20.470598497986792
8,5,3,3453.799608707428,16384,0.0074424706,0.054931640625,-11.242506498098374,0.45306479930877686,0.0003,8.71731185913086,-0.011992287143220893,0.986058235168457,26.885895058512688
9,6,4,3659.38360619545,18432,0.008277409,0.067138671875,-11.237375721335411,0.1398875117301941,0.0003,5.808813095092773,-0.013555819107568822,0.9856881499290466,24.34690271615982
10,7,0,5670.888426780701,20480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,7,0,5876.742216348648,22528,0.009400185,0.085693359375,-11.218161386251449,-0.010921597480773926,0.0003,15.197210311889648,-0.005479814850332332,0.9839432239532471,1062.5871539086104
12,8,4,6082.3895881175995,24576,0.017342854,0.2650390625,-11.130337685346603,-0.17829179763793945,0.0003,1.4603023529052734,-0.009787339929607697,0.9686086773872375,3.2068191818892955
13,8,3,6287.915152549744,26624,0.015200546,0.248974609375,-11.039044326543808,-0.0716543197631836,0.0003,1.033966064453125,-0.010499406140297651,0.959476113319397,2.7606197349727153
14,9,4,6493.495312452316,28672,0.014371118,0.1787109375,-11.026656046509743,-1.0324552059173584,0.0003,1.159238338470459,-0.012297466350719332,0.9601274132728577,4.397370271012187
15,10,0,8499.999926567078,30720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,10,0,8705.532261133194,32768,0.00665079,0.11611328125,-11.010716944932938,-0.02550053596496582,0.0003,20.36280632019043,0.0017305739493167493,0.9584999680519104,1067.0845516711474
17,11,4,8911.118384838104,34816,0.01344957,0.164697265625,-11.014971005916596,-0.13164281845092773,0.0003,1.0529013872146606,-0.015608680083823856,0.9601603746414185,2.2746420215815304
18,11,2,9116.645588874817,36864,0.003609302,0.01591796875,-11.024513325095176,-0.09917807579040527,0.0003,7.337703227996826,-0.004063351615332067,0.9602216482162476,21.19180884808302
19,12,3,9322.226045131683,38912,0.0009928339,0.000634765625,-11.023921674489975,0.014591515064239502,0.0003,11.130146980285645,-0.002872313870466314,0.9601449370384216,26.57515667974949
20,13,0,11331.56701874733,40960,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,13,0,11538.042739868164,43008,0.0007033887,0.0,-11.023974069952965,-0.004732370376586914,0.0003,727.47314453125,-0.0016316499502863735,0.9601784944534302,1053.0600083813072
22,14,4,11745.223160982132,45056,0.020147493,0.229345703125,-11.007756501436234,-0.24542784690856934,0.0003,1.0632233619689941,-0.01276476325438125,0.9575532674789429,2.557316121831536
23,14,2,11950.816781282425,47104,0.01299254,0.199267578125,-10.971225586533546,-0.4930906295776367,0.0003,1.987699270248413,-0.015217186910740565,0.9505550265312195,3.2572562411427497
