Episode,Iteration,FPS,Time Elapsed (s),Total Timesteps,Average Distance,Starting Distance,Ratio,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,1,9,368.0226242542267,3568,136.7674311593199,227.7815167333124,0.6004325246435505,0.012926748,0.134326171875,-11.330646103620529,-0.4075751304626465,0.0003,1.781576156616211,-0.019162369063997174,0.9956995844841003,4.4842327445745465
2,3,9,728.1517715454102,7157,137.29045301719475,207.72707314288277,0.6609174766678633,0.0080358125,0.078466796875,-11.355931794643402,0.6373835206031799,0.0003,3.233973503112793,-0.01936504868208431,1.0007578134536743,4.983877580612898
3,4,1,2814.2534890174866,10001,134.29005216225974,197.8551163749907,0.678729236941958,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,6,9,3174.3574526309967,13589,137.22767131194607,243.85327144576672,0.562746894877995,0.015054778,0.171435546875,-11.312057435512543,0.1823447346687317,0.0003,1.5016165971755981,-0.021678804568364286,0.9940096139907837,2.287126800045371
5,8,9,3534.5341413021088,17178,134.9794192613012,212.34901907602722,0.6356488946764316,0.015979318,0.190771484375,-11.248723110556602,0.28973591327667236,0.0003,0.9559242725372314,-0.02000586639624089,0.9866102933883667,1.9507258143275976
6,9,1,5618.695096254349,20001,145.1779953460827,190.59156056391,0.7617231052442166,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,11,9,5978.830419063568,23589,148.4939556777796,239.87746246760017,0.6190408809157568,0.015957499,0.206396484375,-11.218086904287338,0.27739834785461426,0.0003,1.0134340524673462,-0.022299174129148013,0.9840732216835022,2.419947384670377
8,13,9,6339.052646636963,27179,159.60636179891853,235.17852093771404,0.6786604540352116,0.015606966,0.2078125,-11.152396231889725,0.3772916793823242,0.0003,1.0150892734527588,-0.019909029616246698,0.9745532274246216,2.2898673016577957
9,14,1,8426.764968633652,30001,160.8543297363929,217.73181658197552,0.7387727354758538,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,16,9,8786.905325651169,33586,168.9717024584891,214.00788294139105,0.7895583103579613,0.018412814,0.226318359375,-11.135387608408928,0.14829015731811523,0.0003,0.7680011987686157,-0.008259179505694192,0.9751222133636475,1.7624712385237218
11,18,9,9147.040346384048,37157,169.7506777883313,203.8822331641436,0.8325918112328439,0.016471975,0.228369140625,-11.112168967723846,0.26803696155548096,0.0003,0.7534111738204956,-0.010121439784415997,0.9682217240333557,1.429606838710606
12,19,1,11235.208166837692,40001,173.50526189061753,222.26675480170357,0.7806172454599031,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,21,9,11595.36243891716,43563,174.96966361847836,213.69499515164344,0.8187822250788579,0.018584605,0.20712890625,-11.08371885418892,0.1441848874092102,0.0003,0.4622602164745331,-0.0005394535735831596,0.9682502150535583,1.1977187240496279
14,23,9,11955.446820735931,47152,172.60662790399272,229.86761148323674,0.7508958169018961,0.015836973,0.207275390625,-11.088595750927926,0.11531877517700195,0.0003,0.7849181890487671,-0.011948487782501616,0.9668321013450623,1.5122110247612
15,24,1,14047.60310959816,50001,170.01444274374373,220.87135244980902,0.7697442011289262,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,26,9,14407.70736837387,53590,173.37735922352056,244.28662009095078,0.7097292482043025,0.026021477,0.252392578125,-11.047156751155853,0.0867769718170166,0.0003,0.4128534197807312,-0.004437135503394529,0.9628299474716187,1.1621881296858192
17,27,9,14767.847498178482,57161,172.81190203250446,189.8397747544628,0.9103039774252679,0.02017108,0.205859375,-11.02590551674366,0.7840609699487686,0.0003,1.908664584159851,-0.012233774505148176,0.9594197869300842,4.115837782807648
18,29,1,16853.984780311584,60001,168.78977439772333,210.34975053494725,0.8024244096723129,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,31,9,17214.08879327774,63583,173.98552512266548,203.96763348170867,0.8530055585425423,0.021338703,0.248046875,-10.943747699260712,-0.1808795928955078,0.0003,0.44757360219955444,-0.0002469794955686666,0.9519074559211731,1.0344900547526776
20,32,9,17574.284066915512,67169,175.86333425497796,208.2230217252827,0.8445912118545748,0.026338832,0.19755859375,-10.934217005968094,0.9250987395644188,0.0003,1.4735954999923706,-0.007705389795592055,0.9504225254058838,5.236542745493352
21,34,1,19661.305012226105,70001,175.2476628381206,217.24847639111965,0.8066692376825529,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22,35,9,20021.447497844696,73596,178.34601239228442,230.61283982437152,0.7733568197161438,0.03369472,0.187109375,-10.911500799655915,-0.00022017955780029297,0.0003,2331.47998046875,-0.00526688180907513,0.9481934905052185,1047.0796826496721
23,37,9,20381.64143395424,77167,180.18999784413126,210.0188103119743,0.8579707578405307,0.03944751,0.302001953125,-10.82032941877842,0.36056894063949585,0.0003,0.5784290432929993,0.004010715968615841,0.9354006052017212,1.0242394715547563
24,39,1,22467.42624115944,80001,181.70239425728317,233.16568017887687,0.7792844732461793,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25,40,9,22827.615993976593,83595,185.00926017039924,227.24770345644032,0.8141303844061178,0.017628841,0.1763671875,-10.77833898961544,-0.002814769744873047,0.0003,256.0848388671875,-0.003841923473373754,0.9326342344284058,1054.7821399472655
26,42,9,23187.73303246498,87164,186.70207236262604,207.54680727059602,0.8995661018249587,0.029363252,0.2341796875,-10.721436908841133,0.3746936321258545,0.0003,0.4981991946697235,0.003003746020840481,0.9272019267082214,0.9321335706859827
