Iteration,Episode,FPS,Time Elapsed (s),Total Timesteps,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,1,9,205.14321947097778,2048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,4,413.7835614681244,4096,0.011228329,0.1423828125,-11.31357653439045,-0.5253572463989258,0.0003,0.0010973215103149414,-0.018768873748194893,0.9923692941665649,0.14485221181530505
3,2,3,619.7239022254944,6144,0.012927891,0.152734375,-11.274095126986504,-0.12716960906982422,0.0003,-0.023468434810638428,-0.021308367057645227,0.9887946248054504,0.04294840396032669
4,3,4,825.6701929569244,8192,0.011695707,0.13369140625,-11.2294310182333,-0.5762494802474976,0.0003,-0.020675107836723328,-0.018987908563576638,0.9819129705429077,0.02425921328976983
5,4,0,2832.270456314087,10240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,4,0,3038.3258764743805,12288,0.0031183688,0.0154296875,-11.179030320048332,0.00012439489364624023,0.0003,3021.943115234375,-0.0020328789265477098,0.9787368774414062,1039.1087642970494
7,5,4,3244.3900814056396,14336,0.0136211645,0.154638671875,-11.185428494215012,-1.3143310546875,0.0003,0.05429328233003616,-0.02014294240725576,0.9803723692893982,0.26646398976445196
8,5,3,3450.456468820572,16384,0.015656902,0.19326171875,-11.163487297296523,-0.14946436882019043,0.0003,0.009914597496390343,-0.0249091032135766,0.9745059013366699,0.03989097191952169
9,6,4,3656.526754140854,18432,0.019038029,0.233935546875,-11.129155805706977,-0.6370241641998291,0.0003,-0.03285212069749832,-0.028469752738601528,0.9717767238616943,0.016213728481670842
10,7,0,5663.154765129089,20480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,7,0,5869.353008270264,22528,0.0054153204,0.024267578125,-11.072924247384071,0.0002281665802001953,0.0003,73.36109924316406,-0.0036193907661072446,0.9660742282867432,1039.2550179006532
12,8,4,6075.561820745468,24576,0.015240244,0.1708984375,-11.042066839337348,-1.5741982460021973,0.0003,0.03643293306231499,-0.02129047139460454,0.9590535163879395,0.08170073131332174
13,8,3,6281.815436124802,26624,0.021098398,0.22958984375,-11.004465597867966,-0.2776772975921631,0.0003,-0.020101046189665794,-0.025587018390069716,0.9564964771270752,0.02850590822054073
14,9,3,6488.021465539932,28672,0.017648896,0.20419921875,-10.965159246325493,-0.3880488872528076,0.0003,-0.02721616066992283,-0.026990709060919472,0.9505545496940613,0.012209267052821816
15,10,0,8496.27563071251,30720,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,10,0,8704.1499812603,32768,0.009382768,0.115869140625,-10.94648295044899,4.26173210144043e-05,0.0003,621.476806640625,-0.008345566877687815,0.950739860534668,1033.8875290516298
17,11,4,8910.47885799408,34816,0.0150980055,0.1603515625,-10.925992751121521,-2.089477300643921,0.0003,0.2943989038467407,-0.021586996970290782,0.9461050033569336,0.7458726567216217
18,11,2,9116.654835939407,36864,0.021682382,0.24208984375,-10.936133143305778,-0.5558986663818359,0.0003,-0.008243612945079803,-0.025194209173787386,0.9519563317298889,0.08831868042470888
19,12,3,9322.822625637054,38912,0.017221125,0.2158203125,-10.944972631335258,-0.847445011138916,0.0003,-0.023195413872599602,-0.027380265953252093,0.9508212804794312,0.05156790431065019
20,13,0,11329.603953123093,40960,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,13,0,11535.779277086258,43008,0.006032441,0.046240234375,-10.86348714530468,-0.000179290771484375,0.0003,0.993791937828064,-0.005817844891862478,0.9408450722694397,1043.8564953867462
22,14,4,11744.724296331406,45056,0.017995497,0.180712890625,-10.86507947742939,-3.6564016342163086,0.0003,0.00349213182926178,-0.024098568031331525,0.9407939910888672,0.21300129741430282
23,14,2,11951.87900352478,47104,0.022199098,0.239794921875,-10.859954652190208,-0.24320447444915771,0.0003,-0.00496557354927063,-0.027101393544580788,0.9408282041549683,0.09521676640142687
24,15,3,12158.132703065872,49152,0.02147638,0.240625,-10.85002442598343,-0.5768415927886963,0.0003,-0.033895231783390045,-0.02979998458904447,0.9383799433708191,0.03459463478939142
25,16,0,14165.49721121788,51200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26,16,0,14371.783087015152,53248,0.0086979475,0.085546875,-10.841733041405679,-9.763240814208984e-05,0.0003,2829.857666015625,-0.007313990639522672,0.9381589889526367,1038.4400315753185
27,17,3,14578.027387857437,55296,0.020607822,0.20361328125,-10.818727293610573,-4.280686855316162,0.0003,0.21735140681266785,-0.024968264838389587,0.9345473051071167,0.547310214675963
28,18,5,14784.223870277405,57344,0.019793527,0.229833984375,-10.791396725177766,-2.0238161087036133,0.0003,-0.004588557407259941,-0.025317269892548212,0.9312177896499634,0.058396998973330484
29,18,3,14990.485110521317,59392,0.018738374,0.227490234375,-10.764765545725822,-0.8614116907119751,0.0003,-0.035108357667922974,-0.02503020926233148,0.9283308982849121,0.03311066063179169
30,19,0,16997.234656572342,61440,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,19,0,17203.42960333824,63488,0.010088745,0.1328125,-10.722155079245567,0.0008137822151184082,0.0003,2034.2333984375,-0.008066054958908353,0.9252071380615234,1033.6984789030626
32,20,3,17410.003824710846,65536,0.017232286,0.184912109375,-10.736644679307938,-3.29543399810791,0.0003,0.18297356367111206,-0.02325727072166046,0.9270641803741455,0.6225830462761224
33,21,5,17616.191435813904,67584,0.019628981,0.220361328125,-10.720995637774468,-1.0534157752990723,0.0003,0.02011146768927574,-0.022645786752400456,0.9221832752227783,0.1359335972345434
34,21,3,17822.36551451683,69632,0.022117049,0.260693359375,-10.67768074274063,-0.5497488975524902,0.0003,-0.0303715318441391,-0.02875963285769103,0.9176152944564819,0.040734013076871634
35,22,0,19829.53953909874,71680,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,23,5,20038.15218091011,73728,0.011503277,0.123828125,-10.599024018645286,-1.0132789611816406e-05,0.0003,208.68328857421875,-0.005532623786712066,0.9103772044181824,1047.816397720389
37,23,3,20245.513491392136,75776,0.02053367,0.21904296875,-10.61236267387867,-4.191292762756348,0.0003,-0.0021734200417995453,-0.023779373863362707,0.9132953882217407,0.18089318100828677
38,24,4,20451.696239233017,77824,0.022319563,0.23603515625,-10.621764913201332,-0.2594475746154785,0.0003,0.0053690411150455475,-0.02619117447466124,0.9120485186576843,0.12987149509135634
39,24,3,20657.995389938354,79872,0.021967689,0.246240234375,-10.610621479153632,-0.09133708477020264,0.0003,0.08141721040010452,-0.028482233473914674,0.9116633534431458,0.31843372811563314
40,25,0,22664.986110448837,81920,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41,26,5,22871.247349500656,83968,0.011631217,0.114111328125,-10.567463982105256,0.0001595616340637207,0.0003,179.6912384033203,-0.008991699648322537,0.9072328209877014,1049.2712544662877
42,26,3,23077.49218559265,86016,0.021576643,0.245654296875,-10.552407824993134,-2.6306893825531006,0.0003,0.1548444926738739,-0.027462407895654906,0.9041604995727539,0.36065841279923916
43,27,4,23283.81210875511,88064,0.032015078,0.302001953125,-10.478693827986717,-0.05044734477996826,0.0003,0.17624355852603912,-0.03320451621839311,0.8938000798225403,0.5172623692080378
44,28,1,24956.164292812347,90112,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45,28,1,25162.269869804382,92160,0.012491567,0.145263671875,-10.387734284996986,-0.0001983642578125,0.0003,1.1540117263793945,-0.010062174811901059,0.8874467015266418,694.9404509255662
46,29,4,25368.363914489746,94208,0.022176532,0.2392578125,-10.363392674922943,-0.624284029006958,0.0003,0.3004261553287506,-0.026620708237169312,0.8834133744239807,0.8453736394643784
47,30,7,25574.442715406418,96256,0.02448085,0.26064453125,-10.28927784860134,-0.04293036460876465,0.0003,0.18222461640834808,-0.03519093068607617,0.8721535205841064,0.6339971928857266
48,31,5,25780.501131534576,98304,0.009818686,0.1091796875,-10.245581674575806,0.0004744529724121094,0.0003,229.2602996826172,-0.00983644841471687,0.8715903759002686,4283.0520803170275
49,32,2,26476.81744503975,100352,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50,32,2,26682.96534562111,102400,0.014540646,0.15478515625,-10.164406299591064,-0.0009961128234863281,0.0003,78.97806549072266,-0.015485745134355966,0.860606849193573,79.80442574881017
51,33,4,26889.03639984131,104448,0.021782123,0.240478515625,-10.095807084441185,-0.10174739360809326,0.0003,0.384721577167511,-0.034823030850384386,0.8526113629341125,1.28818823620677
52,33,3,27095.048491716385,106496,0.024323191,0.257373046875,-10.02776797413826,-0.04013872146606445,0.0003,0.6337438225746155,-0.03255819806654472,0.8454951643943787,1.0018032807856798
53,34,4,27301.37727332115,108544,0.024494182,0.259521484375,-9.968856066465378,0.03515160083770752,0.0003,0.8856972455978394,-0.03619687703612726,0.8393644690513611,1.9758856682106853
54,35,5,27547.948665618896,110592,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55,35,3,27755.017340421677,112640,0.0053102295,0.047509765625,-9.885454589128495,5.960464477539062e-07,0.0003,9294.5263671875,-0.00560624036588706,0.8331130743026733,8123.757744048164
56,36,4,27961.12813091278,114688,0.021258216,0.224169921875,-9.87376440167427,-0.7137331962585449,0.0003,1.353875756263733,-0.032188149404828434,0.8314942121505737,2.6118878200650215
57,36,3,28167.23547053337,116736,0.021999557,0.244580078125,-9.818815267086029,0.03756660223007202,0.0003,1.1128712892532349,-0.03752537124091759,0.8231697082519531,2.755874441564083
58,38,12,28373.34348988533,118784,0.024468519,0.274072265625,-9.732125985622407,0.01023244857788086,0.0003,0.7881591320037842,-0.03693511519522872,0.8143436908721924,2.330225070565939
59,39,5,28615.364294052124,120832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
60,39,3,28821.290122270584,122880,0.019179035,0.193212890625,-9.671718686819077,-0.8036702871322632,0.0003,1.6869101524353027,-0.02632696669024881,0.8098098635673523,5.013384986668825
61,40,4,29029.14136314392,124928,0.023442768,0.248046875,-9.600883904099465,-0.0370098352432251,0.0003,1.8754031658172607,-0.03234384004754247,0.8004500269889832,3.1929448012262585
62,42,12,29235.879078626633,126976,0.02759978,0.2994140625,-9.532220417261124,-0.12041425704956055,0.0003,1.6387906074523926,-0.032885613408870994,0.7949891090393066,2.9510534562170507
63,42,5,29442.031413078308,129024,0.00861181,0.089892578125,-9.500368535518646,0.0012399554252624512,0.0003,566.79736328125,-0.0060451975499745455,0.7942361831665039,8205.678546066581
64,43,4,29673.548329353333,131072,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
65,44,6,29879.44801259041,133120,0.02543507,0.254833984375,-9.42444959282875,0.07353442907333374,0.0003,1.690751552581787,-0.03271350914146751,0.7855895161628723,3.675954470038414
66,46,39,30088.23753261566,135168,0.02595188,0.277294921875,-9.360505816340446,0.002959311008453369,0.0003,1.6264114379882812,-0.03192891656071879,0.7768169641494751,484.29979652315376
67,47,8,30295.571541786194,137216,0.00813508,0.06982421875,-9.317258721590042,0.0011320114135742188,0.0003,10736.8427734375,-0.008127307231188752,0.7761557102203369,8294.666239413618
68,50,12,30501.47188615799,139264,0.010652097,0.121923828125,-9.303726536035537,0.0022323131561279297,0.0003,3684.85302734375,-0.014592996444844176,0.7745858430862427,4015.7097432434557
69,52,30,30720.799256324768,141312,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
70,52,7,30928.384851694107,143360,0.008968838,0.078173828125,-9.282786113023757,0.003781437873840332,0.0003,219.48712158203125,-0.01394942645856645,0.7724609971046448,7838.022891283035
71,54,31,31134.868402957916,145408,0.030766508,0.21904296875,-9.258332365751267,-1.6729285717010498,0.0003,2.2942206859588623,-0.023893277294700966,0.7695567607879639,9.322683854401111
72,55,8,31340.80186343193,147456,0.0103636775,0.170068359375,-9.24665806889534,0.0014268159866333008,0.0003,7.841033458709717,-0.005225827946560457,0.7697820663452148,3934.398964035511
73,56,6,31546.70017027855,149504,0.01317624,0.13974609375,-9.2351736754179,0.003614366054534912,0.0003,4652.29296875,-0.012635591840080451,0.7673083543777466,3942.7692930430176
74,57,8,31763.909390211105,151552,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
75,59,11,31970.016726493835,153600,0.013365595,0.135986328125,-9.205927976965905,0.001712799072265625,0.0003,4413.24755859375,-0.014504256092186552,0.7652298808097839,3925.9026657521727
76,60,7,32175.915346860886,155648,0.008811086,0.09443359375,-9.195178347826005,0.0046999454498291016,0.0003,4186.54638671875,-0.012172183498478262,0.7639538049697876,7780.242287528515
77,63,28,32381.815608501434,157696,0.013568463,0.171435546875,-9.174091246724128,0.0030838847160339355,0.0003,37.55454635620117,-0.011525837446970399,0.76141756772995,3893.9052571833136
78,66,36,32587.739087343216,159744,0.009921614,0.101708984375,-9.157267111539841,0.005321860313415527,0.0003,3098.94775390625,-0.012829005729145138,0.760515570640564,8169.449522078037
79,66,7,32810.248297691345,161792,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
80,68,10,33016.279809474945,163840,0.0487489,0.329296875,-9.141887465119362,-1.273036241531372,0.0003,2.946376323699951,-0.02293018381606089,0.7613941431045532,13.67207675948739
81,69,5,33222.308394908905,165888,0.015764419,0.2537109375,-9.16211470067501,0.002217113971710205,0.0003,3470.963134765625,-0.007987062561733182,0.7605141401290894,7421.471757394075
82,73,22,33428.338990688324,167936,0.042719245,0.289501953125,-9.151017683744431,-1.9513206481933594,0.0003,3.465012311935425,-0.022874668292934074,0.7610334157943726,12.6723101913929
83,74,7,33634.36770820618,169984,0.008569511,0.10693359375,-9.149042716622352,0.0039955973625183105,0.0003,6495.83154296875,-0.008050957228988409,0.7600604891777039,15175.434749281407
84,75,8,33861.86052942276,172032,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
85,79,17,34067.89649415016,174080,0.020106867,0.1888671875,-9.1155986815691,0.0042819976806640625,0.0003,11.554387092590332,-0.01242344167403644,0.7561675310134888,3824.668857604265
86,80,8,34273.93617892265,176128,0.010047816,0.08505859375,-9.100625690817832,0.007220923900604248,0.0003,3715.634033203125,-0.012971807638678001,0.7553431987762451,11755.000869560241
87,84,39,34479.9723815918,178176,0.02202082,0.199560546875,-9.08717035651207,0.001681983470916748,0.0003,1265.1046142578125,-0.014576345981186022,0.7539666891098022,3786.101324313879
88,89,25,34715.91961169243,180224,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
89,90,7,34922.899599552155,182272,0.015837329,0.161328125,-9.048999616503716,0.004835367202758789,0.0003,4387.525390625,-0.01438175545190461,0.7490963935852051,15046.823748874664
90,91,7,35129.02713084221,184320,0.018683556,0.23017578125,-9.009975010156632,-0.002480149269104004,0.0003,726.4642944335938,-0.012601312193146441,0.7459806203842163,3687.6642336130144
91,95,14,35335.08691906929,186368,0.025609279,0.2474609375,-8.96576277911663,0.002040863037109375,0.0003,1578.3974609375,-0.01581198052444961,0.7411248683929443,3711.6142788052557
92,98,10,35541.14592719078,188416,0.01579205,0.165673828125,-8.932289439439774,0.0036663413047790527,0.0003,523.9495849609375,-0.019668417996217612,0.7393206357955933,11402.263791179657
93,104,22,35774.040440797806,190464,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
94,104,6,35980.131197690964,192512,0.017274223,0.1630859375,-8.91657083928585,0.0031206607818603516,0.0003,14306.9384765625,-0.017447019723476842,0.7392363548278809,21226.412503051757
95,107,96,36186.199162483215,194560,0.06707276,0.41181640625,-8.882021495699883,-0.0534055233001709,0.0003,2.4044837951660156,-0.0283173741583596,0.733271598815918,30.82015142440796
96,110,18,36392.26682305336,196608,0.0131191965,0.25966796875,-8.84567624628544,0.0038149356842041016,0.0003,9190.611328125,-0.005066554811492097,0.7315723896026611,7654.269827461243
97,114,30,36598.34013700485,198656,0.010872342,0.074853515625,-8.831277495622635,0.004033029079437256,0.0003,10241.93359375,-0.012087068520486355,0.7298537492752075,10740.970823788643
98,117,9,36826.47875499725,200704,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
99,124,70,37032.53084397316,202752,0.012280363,0.14189453125,-8.79301030933857,0.003709554672241211,0.0003,4953.02197265625,-0.01953375053126365,0.7270669341087341,10540.843226122855
100,128,31,37238.58718585968,204800,0.009442086,0.07236328125,-8.779745534062386,0.003940463066101074,0.0003,7246.6162109375,-0.014759665718884207,0.7253079414367676,23862.204030418397
101,134,43,37444.705567359924,206848,0.015765607,0.19248046875,-8.749686634540558,0.0010845065116882324,0.0003,2205.803466796875,-0.018575842265272514,0.7221218943595886,13617.880183506011
102,141,40,37650.962503910065,208896,0.012703515,0.14912109375,-8.72368519604206,0.006086587905883789,0.0003,9537.140625,-0.017181414944934657,0.7205721139907837,19974.28558921814
103,145,15,37874.8515996933,210944,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
104,151,29,38081.058248996735,212992,0.015038436,0.21513671875,-8.659392312169075,0.0024183988571166992,0.0003,9607.1044921875,-0.020706333592534064,0.7137418985366821,14466.257114648819
105,158,23,38287.25951004028,215040,0.015806183,0.1431640625,-8.641195911169053,0.009519338607788086,0.0003,5897.78662109375,-0.020636630298395176,0.7138994932174683,19347.06528072357
106,163,30,38493.45429086685,217088,0.01485114,0.14326171875,-8.625786074995995,0.0019649863243103027,0.0003,9175.0859375,-0.01709827509621391,0.7114058136940002,22185.63095474243
107,173,77,38700.33787870407,219136,0.02061078,0.24716796875,-8.583002251386642,0.002870500087738037,0.0003,11172.0537109375,-0.01875684680271661,0.7062478065490723,15800.725468826295
108,182,42,38921.631764411926,221184,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
109,189,94,39127.821611881256,223232,0.015611651,0.152783203125,-8.5352021753788,0.0053021907806396484,0.0003,4531.189453125,-0.019786189458682202,0.7044052481651306,28467.792501831056
110,197,46,39334.01283597946,225280,0.021372026,0.234716796875,-8.531543871760368,0.0022076964378356934,0.0003,4457.31689453125,-0.01680890887946589,0.7030816078186035,18648.46145553589
111,204,17,39540.22835826874,227328,0.024258621,0.240869140625,-8.504967939853668,0.006216883659362793,0.0003,18411.0546875,-0.02674809071904747,0.7007390260696411,23885.700553894043
112,215,38,39746.55874419212,229376,0.024996884,0.234521484375,-8.471218916773797,0.005061805248260498,0.0003,4281.2802734375,-0.02212798478867626,0.697687566280365,18231.097699546815
113,222,82,39966.18312597275,231424,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
114,233,184,40172.433534383774,233472,0.027741797,0.287744140625,-8.401002261042596,0.006334900856018066,0.0003,11094.8662109375,-0.025508195083239114,0.6917800903320312,21205.66394081116
115,245,130,40378.67631649971,235520,0.021427203,0.212548828125,-8.376755055785178,0.006902456283569336,0.0003,6387.91552734375,-0.01812130647012964,0.6895696520805359,28647.26457824707
116,255,108,40591.45844626427,237568,0.020068083,0.206494140625,-8.3363262206316,0.015306532382965088,0.0003,8938.1650390625,-0.02406138741353061,0.6855558753013611,33326.41369628906
117,268,424,40797.91867351532,239616,0.031194618,0.314501953125,-8.298579674959182,0.005120992660522461,0.0003,10393.048828125,-0.01427285585377831,0.6834180951118469,27527.390002441407
118,277,63,41016.043959379196,241664,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
119,289,33,41232.78318858147,243712,0.029580094,0.32109375,-8.21360173523426,0.005756795406341553,0.0003,13396.236328125,-0.02147940585273318,0.6758077144622803,24216.853788757326
120,307,66,41441.161669015884,245760,0.020419307,0.19599609375,-8.190273976325988,0.010324597358703613,0.0003,17271.92578125,-0.020336909845354967,0.6740690469741821,31886.765547180177
121,321,118,41656.1382496357,247808,0.01437521,0.093310546875,-8.17121535539627,0.012318432331085205,0.0003,17126.099609375,-0.016602019712445328,0.6728610992431641,44459.20161743164
122,329,48,41862.3098385334,249856,0.027710276,0.228271484375,-8.155730378627776,0.009986281394958496,0.0003,19751.56640625,-0.02327502453699708,0.6710755228996277,33879.61437683106
