Episode,Iteration,FPS,Time Elapsed (s),Total Timesteps,Average Distance,Starting Distance,Ratio,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,1,9,360.9135718345642,3564,142.87371189183276,246.56439075452346,0.5794580127917827,0.011944724,0.123095703125,-11.33015930056572,0.17532825469970703,0.0003,0.04086143150925636,-0.019007678140769712,0.9957813620567322,0.2542532012332231
2,3,9,721.0599722862244,7135,142.46396593835934,198.86455136238902,0.7163869325244828,0.01201058,0.135302734375,-11.26773323714733,0.14145511388778687,0.0003,-0.005265793763101101,-0.022870537923881783,0.9883103370666504,0.03388924368191511
3,4,1,2809.7414667606354,10001,147.34189169306373,236.21365535641803,0.6237653427391507,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,6,9,3169.9285156726837,13572,146.5731449841515,212.60670481226904,0.6894097959590458,0.012478759,0.142724609375,-11.22086073756218,-0.2954005002975464,0.0003,0.09067673236131668,-0.0176911592570832,0.9822638034820557,0.26703753508627415
5,8,9,3530.0290384292603,17143,143.1796355955825,194.9120234795641,0.7345859585239719,0.016455475,0.17373046875,-11.183169385790825,-0.42933738231658936,0.0003,0.00611499696969986,-0.023614301446650644,0.9783935546875,0.042258070135721935
6,9,1,5618.013067245483,20001,147.01140364959383,241.82429858542645,0.6079265173497891,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,11,9,5978.125282764435,23574,144.16989734747435,202.7622189664829,0.7110293923707058,0.015744407,0.182421875,-11.151629146933555,0.4140979051589966,0.0003,0.20430681109428406,-0.02206581652717432,0.973655104637146,0.4765859890729189
8,13,9,6338.233986377716,27147,148.3203214713642,201.79184024704838,0.7350164470960747,0.018539334,0.2236328125,-11.118833050131798,-1.706120491027832,0.0003,-0.02953110635280609,-0.022587572479096707,0.9691958427429199,0.013368982598331058
9,14,1,8426.246274709702,30001,153.6202884161969,245.22173013740917,0.6264546307952248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,16,9,8786.438796758652,33574,153.48776335314727,243.7984343856575,0.6295682896402425,0.014945731,0.187841796875,-11.051790907979012,-1.8669180870056152,0.0003,0.019153760746121407,-0.01750777548732003,0.9620047807693481,0.16725276745855808
11,18,9,9146.545379161835,37146,141.5083955702923,205.9846852351634,0.6869850319636072,0.018143047,0.233349609375,-11.038648924231529,0.5496207475662231,0.0003,-0.006808040663599968,-0.02209129321781802,0.9617158770561218,0.04892566606868058
12,19,1,11234.06196475029,40001,142.68725253485633,212.07564278615052,0.6728130145465929,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
