Episode,Iteration,FPS,Time Elapsed (s),Total Timesteps,Average Distance,Starting Distance,Ratio,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,1,8,370.4359016418457,3133,143.65436124715058,246.2639186613583,0.5833349929134041,0.010523997,0.130126953125,-11.332296207547188,0.02292001247406006,0.0003,3.7971699237823486,-0.017750322971551213,0.9958849549293518,9.343195913732051
2,3,8,730.6227421760559,6307,140.76904741353692,217.3144304073017,0.6477666814380456,0.014291327,0.158056640625,-11.292417332530022,0.44452375173568726,0.0003,0.7230064272880554,-0.022610784345306455,0.9924682974815369,2.746432615071535
3,4,8,1090.786019563675,9477,144.35581297193207,241.0910599784899,0.598760538797297,0.01366297,0.1716796875,-11.27747372686863,0.5338054299354553,0.0003,0.3415531516075134,-0.023620474003837443,0.9904322624206543,1.3033950306475162
4,4,0,2951.167632818222,10001,133.6808161435398,246.8032434122965,0.5416493490736655,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,6,8,3311.3948786258698,13165,147.84193995713233,197.75641548305254,0.74759617581055,0.014255879,0.1634765625,-11.296117308735848,0.14017611742019653,0.0003,0.5182809233665466,-0.020546853145060596,0.995018482208252,1.2782894063740968
6,7,8,3671.572594642639,16332,152.10708814922407,229.4226346066335,0.6629994830720424,0.013862693,0.202490234375,-11.331060460209846,0.5407666862010956,0.0003,0.2075503170490265,-0.018174273316981272,0.9992837905883789,0.5204882314428687
7,9,8,4031.713059425354,19488,153.47134694966385,229.41544151202297,0.6689669445882565,0.014427524,0.178076171875,-11.31661335527897,0.5178722143173218,0.0003,0.2846553325653076,-0.012697716688853689,0.9948880672454834,0.6281648026779294
8,9,0,5890.954546451569,20001,159.57174182747545,233.13146232073552,0.6844710715533593,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,11,8,6251.076828718185,23180,155.34823575786692,225.4050978807848,0.6891957511982694,0.014659299,0.169873046875,-11.296944040060044,0.31972962617874146,0.0003,0.27766841650009155,-0.01972720733319875,0.9932995438575745,0.5703395264223218
10,12,8,6611.304931163788,26351,151.42959390339243,192.28965638131152,0.7875077461426561,0.014788821,0.203564453125,-11.274795746803283,0.4107756018638611,0.0003,0.23139594495296478,-0.016605887134210205,0.9887203574180603,0.6343618499115109
11,14,8,6971.457755565643,29510,155.84594478563574,222.54059239307838,0.7003034507536566,0.016611954,0.19814453125,-11.242388382554054,0.4174165725708008,0.0003,0.2628902792930603,-0.017227549004019238,0.9850592613220215,0.6038732592016458
12,14,0,8827.089540958405,30001,149.84393061143572,204.6159593371673,0.73231790470714,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,16,8,9187.2736287117,33167,157.5929737268626,238.67241223185883,0.6602898602866952,0.014710898,0.153369140625,-11.236711838841439,-1.1011862754821777,0.0003,0.2689583897590637,-0.013107789342757314,0.9869691133499146,0.7242704968899488
14,17,8,9547.488383769989,36350,157.69093070682757,248.32360915251027,0.6350219024481889,0.019109724,0.221435546875,-11.242582020163535,0.433529794216156,0.0003,0.2631237208843231,-0.0212318554345984,0.9859017729759216,0.524269285518676
15,19,8,9907.674544334412,39471,161.11753085771477,202.09332767234247,0.7972431980482676,0.01913079,0.209228515625,-11.216990000009536,0.5555464625358582,0.0003,0.19420529901981354,-0.013077764978515916,0.9838805794715881,0.4258643390610814
16,19,0,11767.475997447968,40001,139.63271069822738,211.81507728105726,0.6592198841112187,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,21,8,12127.666848182678,43139,163.2804674967887,243.64111552278658,0.6701679523443073,0.019870112,0.239794921875,-11.219815456867218,0.31156736612319946,0.0003,0.23767808079719543,-0.018445082635298603,0.9826889038085938,0.5184648100286722
18,22,8,12487.807288885117,46303,164.61145818219242,245.7344659569223,0.6698753369462187,0.019433403,0.22392578125,-11.177965763211251,0.5593501925468445,0.0003,0.23654668033123016,-0.012523876588966231,0.9755792617797852,0.39756344850175085
19,24,8,12847.956542730331,49456,163.86403416513545,224.9605363708991,0.7284123553784917,0.020017866,0.23720703125,-11.134869617223739,0.4705277681350708,0.0003,0.2744709253311157,-0.012910606327204732,0.973502516746521,0.5377465127501637
20,24,0,14710.935384750366,50001,165.07939929030104,228.60042845761913,0.7221307519154785,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,25,8,15071.134810447693,53135,166.60502586184845,250.97746981918593,0.6638246292859565,0.0081615755,0.1240234375,-11.135576689243317,0.0015572309494018555,0.0003,1836.675048828125,-0.004682861795299686,0.9733016490936279,1048.8694338154048
22,27,8,15431.363886833191,56268,167.2795890664477,223.2648873585956,0.7492427091671274,0.02799379,0.281298828125,-11.069541645050048,0.5925436019897461,0.0003,0.17513823509216309,-0.01182003676367458,0.9649759531021118,0.36130659813061355
23,29,8,15791.565844774246,59402,166.53423535995523,231.90676925896875,0.7181085566932613,0.027130093,0.253076171875,-11.00541296005249,0.5747978389263153,0.0003,0.18315452337265015,-0.00923876163578825,0.9552595019340515,0.3423025912605226
24,29,0,17661.80346608162,60001,171.97453847759058,251.06426938725767,0.6849821318553537,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25,30,8,18021.915554761887,63160,162.63252767455782,234.87010797799434,0.6924360408170602,0.00831252,0.09384765625,-10.988203620910644,-0.009449124336242676,0.0003,565.5773315429688,-0.0018800658319378272,0.9558253884315491,1036.7930938646198
26,32,8,18382.135237693787,66298,169.34107170843566,236.60071166536196,0.7157251156029679,0.025654327,0.24111328125,-10.944606238603592,0.5478709042072296,0.0003,0.17407281696796417,-0.010847728459339123,0.9489579200744629,0.3955816121771932
27,33,8,18742.25819659233,69418,170.39714224865438,214.91132221688906,0.7928718714814342,0.026117988,0.258544921875,-10.913353210687637,0.5870333611965179,0.0003,0.17091919481754303,-0.01604169571219245,0.9461634159088135,0.41699565113522113
28,34,0,20610.88574576378,70001,162.44103209030698,216.0658983669356,0.7518124485079094,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29,35,8,20971.04899907112,73134,172.21127919773633,199.6963010566865,0.8623658940425332,0.016641395,0.143994140625,-10.86098234951496,0.0012957453727722168,0.0003,24.82936668395996,-0.00466971773566911,0.940488874912262,1049.7382411949336
30,37,8,21331.17695569992,76247,169.8872903364884,235.470678744893,0.7214795967040248,0.025913846,0.25439453125,-10.811894443631171,0.579257607460022,0.0003,0.15968552231788635,-0.0070605446679110175,0.9333369731903076,0.3822387019637972
31,38,8,21691.407658100128,79359,169.271491089517,202.78417414160393,0.8347371869922894,0.029905805,0.253271484375,-10.78560330271721,0.6347150206565857,0.0003,0.18369564414024353,-0.003226861973234918,0.9310754537582397,0.3441719328984618
32,39,0,23566.73600101471,80001,175.06805665349034,201.9514863186535,0.8668817439513935,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33,40,8,23926.92204618454,83127,174.05839419775407,231.09271319701762,0.7531972418765145,0.02332621,0.218603515625,-10.753676414489746,-0.001710653305053711,0.0003,4.691922187805176,-0.005631317544612102,0.9284976124763489,1043.2407514248043
34,42,8,24287.166066646576,86267,163.86994817023952,220.44660521656658,0.7433543737688943,0.023646716,0.283740234375,-10.735687497258187,0.6215502321720123,0.0003,0.13439875841140747,-0.007270097451691981,0.9239626526832581,0.4630219309590757
35,43,8,24647.437435865402,89375,174.45513596798776,228.82513251157886,0.7623949959218754,0.027517628,0.282080078125,-10.686685639619828,0.6319262683391571,0.0003,0.10979972034692764,-0.0038300714862998576,0.9182093143463135,0.27246212563477457
36,43,0,26520.302824497223,90001,175.75440386687848,246.34284818792094,0.7134544605606145,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37,45,8,26880.422166585922,93116,176.38103325151772,195.46627410829873,0.9023604407264305,0.18399964,0.365185546875,-10.661061686277389,0.47499221563339233,0.0003,0.26209118962287903,0.003191197341948282,0.9174622297286987,0.3269476474262774
38,46,8,27240.614904165268,96254,173.81951639016333,234.9503919644625,0.7398136897616006,0.050325423,0.315234375,-10.636070141196251,0.6019284725189209,0.0003,0.10685278475284576,-0.0004739176758448593,0.9120444059371948,0.33344098101370034
