Episode,Iteration,FPS,Time Elapsed (s),Total Timesteps,Average Distance,Starting Distance,Ratio,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,1,9,371.96178555488586,3563,138.64365906577873,245.4320269021317,0.5648963617982269,0.0095106345,0.08828125,-11.349017682671548,0.004702746868133545,0.0003,22.03153419494629,-0.017012637098378035,0.9993860125541687,52.11288948059082
2,3,9,732.1294236183167,7148,139.95342754614754,220.16474681311044,0.6356759180203756,0.009956082,0.119140625,-11.349801394343377,0.2523503303527832,0.0003,16.35057830810547,-0.021209385016845772,1.0005451440811157,49.69953905344009
3,4,1,2819.0363569259644,10001,142.08145028389208,201.93711205811576,0.7035925632283098,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,6,9,3179.2044064998627,13587,147.65381395191588,218.23988932197702,0.6765665727317016,0.010217631,0.11337890625,-11.327605459094048,0.5724018216133118,0.0003,16.46674156188965,-0.016040771976986435,0.9968211650848389,35.948048329353334
5,8,9,3539.357839822769,17173,153.2149205776343,249.46796194226846,0.6141667225913807,0.017189872,0.242919921875,-11.29535460472107,0.23339152336120605,0.0003,6.888737678527832,-0.015433690239296994,0.9921987056732178,19.535149521380664
6,9,1,5630.120697975159,20001,156.06465237108173,210.52801892266052,0.7413011017237262,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,11,9,5990.228934764862,23572,157.1233508363494,232.3931794785221,0.6761099925089274,0.013438899,0.172021484375,-11.204756438732147,-0.24277591705322266,0.0003,1.3746808767318726,-0.012137404415989294,0.9792047739028931,5.70930504836142
8,13,9,6350.3998067379,27158,154.53425530035648,224.18185646053556,0.6893254331113112,0.011312624,0.141650390625,-11.180084118247033,-1.0363948345184326,0.0003,1.3981295824050903,-0.006618500225886237,0.9782092571258545,11.584200983121992
9,14,1,8437.61764216423,30001,155.78490369110014,208.6387645173104,0.7466728632692557,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,16,9,8797.790246725082,33584,151.66917655304252,242.70610106666754,0.6249087925127246,0.0010266792,0.001123046875,-11.131496214866639,0.47145330905914307,0.0003,18.174392700195312,-0.0026305112513000497,0.9732589721679688,40.594061179459096
11,18,9,9157.95231962204,37170,154.91768561772284,192.2976587677323,0.805613997645395,0.016288452,0.222509765625,-11.141187196969986,-0.08328354358673096,0.0003,1.2285900115966797,-0.014102619711775333,0.9735993146896362,2.8856160424649717
12,19,1,11244.252942800522,40001,152.25553393898122,230.61104843120873,0.6602265371704384,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,21,9,11604.351458311081,43581,156.76418675636666,230.93950073062868,0.6788106246891854,0.014445173,0.216064453125,-11.117392337322235,-0.8763352632522583,0.0003,1.00175940990448,-0.010774523614236387,0.970015287399292,2.547345036268234
14,23,9,11964.57887339592,47157,154.07527252733348,247.16542695661508,0.6233690303068895,0.0015175247,0.0017578125,-11.110775196552277,0.7855668812990189,0.0003,21.246177673339844,-0.0022688281729642767,0.97063809633255,30.351474231481554
15,24,1,14051.46350979805,50001,156.57587409512507,221.10151307760893,0.7081628339656152,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,26,9,14411.619488477707,53584,154.30112299148178,239.75214064961236,0.6435860075050857,0.021890733,0.16142578125,-11.101685562729836,-7.610465049743652,0.0003,1.189251184463501,-0.0023057720405631698,0.9676322937011719,4.294390457868576
