Episode,Iteration,FPS,Time Elapsed (s),Total Timesteps,Average Distance,Starting Distance,Ratio,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,0,2,367.089072227478,1043,140.2421781191863,221.2869471046139,0.633757119225322,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,1,3,727.3545830249786,2317,135.4624749632712,231.90881230617265,0.5841195667218966,0.009425705,0.100244140625,-11.33155373930931,0.025127828121185303,0.0003,11.154284477233887,-0.01557840664027026,0.9952623248100281,27.720919746160508
3,1,3,1088.1069617271423,3595,136.6471429151965,237.51077097531902,0.5753302991441858,0.009425705,0.100244140625,-11.33155373930931,0.025127828121185303,0.0003,11.154284477233887,-0.01557840664027026,0.9952623248100281,27.720919746160508
4,2,3,1448.2220554351807,4993,138.4230692940616,200.38145803338608,0.6907977946292744,0.010560715,0.12939453125,-11.299055776000023,0.5408945381641388,0.0003,10.075292587280273,-0.021341462320560823,0.9925436973571777,26.09712015092373
5,3,5,1808.325480222702,6796,132.64919751839898,206.62780294657637,0.6419716786743139,0.008587813,0.091015625,-11.284214505553246,0.6357048451900482,0.0003,13.039607048034668,-0.017317196264048106,0.9909877181053162,34.948051410913465
6,4,5,2168.496455669403,8760,138.85069740555534,229.03301443137258,0.6062475217831993,0.008417365,0.090771484375,-11.278824722766876,0.5562962293624878,0.0003,12.808774948120117,-0.01795250154391397,0.9904089570045471,32.07579651474953
7,4,0,4202.890092134476,10001,146.5763753088952,207.42794011847437,0.7066375688114955,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,5,5,4429.07553768158,11155,141.70262135112088,200.61740474570567,0.7063326411321952,0.008169093,0.034765625,-11.270565998554229,-0.029921293258666992,0.0003,20.60479736328125,-0.005930133443325758,0.9892711639404297,1052.1121670365333
9,6,5,4789.244977474213,12973,142.02881167267657,209.40548972682205,0.6782477950217968,0.0033197731,0.00537109375,-11.263240167498589,-0.017810821533203125,0.0003,4397.88037109375,-0.005185849935514852,0.988973081111908,4318.037904345989
10,7,5,5149.438518285751,14865,144.46207967137028,223.30034471549678,0.6469406926148143,0.007992536,0.0736328125,-11.259179908037186,0.4887211322784424,0.0003,11.39887523651123,-0.01680220519338036,0.9881590604782104,22.906408527493475
11,8,6,5510.686728477478,17067,146.89801075321535,228.24921361327034,0.6435860541544259,0.010868785,0.12490234375,-11.2555524289608,0.6086515784263611,0.0003,4.894373416900635,-0.016274797028745524,0.9877333641052246,13.438815455138684
12,9,4,5872.3339829444885,18772,148.71167343669663,238.05769849741665,0.6246875206109347,0.011443714,0.13037109375,-11.247695216536522,0.5804535746574402,0.0003,9.432332992553711,-0.019606589183968025,0.9862059354782104,20.72307312488556
13,9,0,7854.217571735382,20001,150.39706956897788,195.64063308580907,0.7687414786835867,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,10,6,8214.53415608406,22241,153.40868897033528,213.22798580340438,0.7194585100652673,0.0031900257,0.009423828125,-11.240559688210487,0.005635559558868408,0.0003,17.2274169921875,-0.004524508491158485,0.9864872097969055,1053.6607582688332
15,12,7,8574.63895869255,24821,155.22157725045778,217.1280753597398,0.714884876095757,0.016005756,0.250537109375,-11.160332626104355,-0.30611252784729004,0.0003,2.0743327140808105,-0.01433602791366866,0.9740622043609619,4.470633640140295
16,13,7,8934.826815605164,27429,152.215648690169,237.37435073704555,0.6412472460379167,0.0103280395,0.114013671875,-11.142909201979638,0.5318414568901062,0.0003,7.62300968170166,-0.011403929464358952,0.9744064807891846,18.296282906085253
17,14,1,11070.204800367355,30001,158.41084934042894,202.53575264011027,0.7821377079132901,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,15,7,11430.36350274086,32611,155.52928555213512,243.40496547503386,0.6389733473538682,0.008766389,0.077783203125,-11.089838698506355,-0.010080814361572266,0.0003,65.6565170288086,-0.005354005774279358,0.9672436714172363,1058.8356992572546
19,17,7,11790.499321699142,35411,161.908343400382,240.2884425758769,0.6738082850125241,0.020690262,0.28232421875,-11.019196957349777,0.03781062364578247,0.0003,1.040772795677185,-0.014264820140670053,0.9594171047210693,2.6057106077671053
20,18,8,12150.680418729782,38415,159.36159629353887,243.61822164331878,0.6541448140396494,0.016044453,0.214990234375,-11.01249253153801,-0.04937160015106201,0.0003,1.019287347793579,-0.012254861390101724,0.9589971303939819,1.9919499535113574
21,19,0,14202.279788970947,40001,157.7249584115199,199.55076836544757,0.7904001558273637,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22,20,6,14562.474604845047,42469,156.72288939481956,212.88378437341743,0.7361898880936532,0.0014168036,0.002392578125,-10.99011363685131,0.11629807949066162,0.0003,46.01165771484375,-0.0017205252137500794,0.9558316469192505,1089.0414434611798
23,22,7,14922.663458824158,45256,159.22930245935086,218.1812700892409,0.729802802936396,0.011573328,0.117578125,-10.979416361451149,-0.25878429412841797,0.0003,1.2096245288848877,-0.012534856973070418,0.9539105892181396,2.3253010611981155
24,23,8,15282.834709644318,48158,159.11889175206156,238.12072275781443,0.668227821204359,0.0053779986,0.046337890625,-10.972065815329552,0.7752531170845032,0.0003,2.1444666385650635,-0.0056435254024108875,0.9539169669151306,6.813755412399769
25,24,0,17332.28523683548,50001,159.32053321745087,211.15390768068792,0.7545232525764063,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26,25,7,17692.455392360687,52794,163.38653021960897,230.18973754948289,0.7097906794584466,0.01118198,0.12919921875,-10.934332516789436,-0.0021554231643676758,0.0003,1261.6787109375,-0.006333046218787786,0.9493548274040222,1050.882181173563
27,27,7,18052.651065826416,55385,156.75270108410885,223.984928857726,0.6998359304061806,0.015031137,0.18740234375,-10.949611940979958,-0.05641496181488037,0.0003,1.560489535331726,-0.00913555938313948,0.9533707499504089,2.1351875212043523
28,28,8,18412.76709961891,58378,158.43912075317945,222.86418842553422,0.7109222969939777,0.0127128335,0.173291015625,-10.956082457304001,0.11834031343460083,0.0003,0.796776533126831,-0.01112541488109855,0.9504051208496094,2.1189287904649974
29,29,0,20421.36961388588,60001,158.42533602783618,204.85981694541195,0.7733353392093045,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,30,7,20782.048503398895,62837,156.43152759795768,238.7028159295226,0.655340101409379,0.0017601585,0.013427734375,-10.956026989221574,0.014424741268157959,0.0003,11.702357292175293,-0.0009748743348609423,0.9518904685974121,1047.8859190151095
31,31,6,21142.87032175064,65234,152.93982203082788,227.72608774770293,0.6715955275193128,0.0037390871,0.009033203125,-10.955262154340744,0.8644824326038361,0.0003,6.941429138183594,-0.006373641225945903,0.9515876770019531,12.05769785195589
32,33,7,21503.054728269577,68034,157.96894498676,201.07776187289693,0.7856112158569459,0.008196561,0.0828125,-10.954366490244865,0.6970604956150055,0.0003,6.9710869789123535,-0.010030633457063232,0.9512749314308167,7.157570388540625
33,34,0,23525.810101032257,70001,164.34482697927572,208.00167766809906,0.7901129876534696,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34,35,8,23886.78651881218,72998,164.93439658972534,248.57021256834466,0.6635324276611642,0.01579997,0.176513671875,-10.983097529411316,0.00014156103134155273,0.0003,765.2803344726562,-0.0024360150993743444,0.9569251537322998,1043.08001190871
35,37,8,24246.91993379593,76012,164.36496711016443,194.64019126225432,0.8444554336093019,0.016893188,0.204541015625,-11.064389780163765,-0.006705164909362793,0.0003,0.8869516849517822,-0.010008890071185305,0.9653207063674927,1.9703779451549053
36,38,8,24607.054579257965,78986,164.43677611336057,201.73064105485548,0.8151303899770298,0.016138751,0.1765625,-11.082827392220498,0.10129612684249878,0.0003,0.7948514819145203,-0.005933107325108722,0.9686201810836792,2.018595813587308
37,39,0,26524.96763420105,80001,159.8343707688349,231.03929515474542,0.6918060006276469,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38,40,7,26885.156488656998,82764,160.19803982102184,219.72721457379438,0.729076915355062,0.003450865,0.0158203125,-11.04839829802513,0.04639643430709839,0.0003,23.914894104003906,-0.00268615221066284,0.9632936716079712,1035.5687107115984
39,41,8,27246.151342868805,85668,162.0306101425003,231.04146981722783,0.7013053122916825,0.012193661,0.12119140625,-11.037671563029289,-0.36653947830200195,0.0003,1.2551170587539673,-0.012159810618322808,0.9605838656425476,2.542904831841588
40,43,8,27606.461196422577,88557,164.77613602805812,211.49414769072072,0.7791049436933788,0.019727292,0.22529296875,-11.004638701677322,-0.17480885982513428,0.0003,1.153393030166626,-0.007547299342695624,0.9567272663116455,1.9685539413243531
41,43,0,29603.522844076157,90001,157.59707801275144,237.1808233055196,0.6644596127813672,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42,45,7,29963.700681447983,92798,161.97782422901736,201.49574467220532,0.8038771463512742,0.019693926,0.20966796875,-10.994141519069672,-0.8670315742492676,0.0003,0.7491400241851807,-0.005604252539342269,0.9566442966461182,2.833522963151336
43,46,7,30323.815759420395,95574,160.5355873464047,190.06583486439737,0.8446314797235334,0.0100263655,0.094384765625,-10.993062970042228,0.6425715088844299,0.0003,8.136849403381348,-0.007202552612579893,0.9569532871246338,9.99183471351862
44,47,7,30683.993601083755,98303,164.19451592977748,226.92453633787554,0.7235643997760681,0.021707539,0.24775390625,-11.003148046135902,0.06560331583023071,0.0003,0.7897340059280396,-0.009313475308590568,0.9588801860809326,1.8302958216518164
45,48,0,32684.59048628807,100001,161.9127964571556,244.89780108604972,0.6611443456785645,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46,50,8,33045.95539855957,102915,161.12872518153134,199.91182641973873,0.8059989649798024,0.01916888,0.251171875,-10.992096626758576,-0.278425931930542,0.0003,0.8387676477432251,-0.0055123124257079326,0.9570486545562744,1.7232537604868412
47,51,7,33406.15155506134,105660,160.91337618198153,219.26417806212788,0.7338790020519776,0.008724716,0.10205078125,-10.997800621390343,0.7758697420358658,0.0003,6.109781742095947,-0.010966239776826115,0.957210123538971,10.02449779137969
48,52,7,33766.32159805298,108291,159.96769959379984,202.89100664821197,0.7884415491671553,0.007382213,0.06279296875,-10.998120036721229,0.249254047870636,0.0003,0.9560507535934448,-0.00870384580848622,0.9572768211364746,9.106005088984967
