Episode,Iteration,FPS,Time Elapsed (s),Total Timesteps,Average Distance,Starting Distance,Ratio,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,0,2,21.317100763320923,47,237.58422262465385,285.9620422131501,0.8308243317396774,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,0,3,36.77309799194336,95,244.44100199298464,205.2364490045567,1.1910213959488136,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,0,3,52.26690340042114,143,228.46885771671705,235.65857133669914,0.9694909734061413,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,0,3,67.85002779960632,191,231.53254891098115,251.00796800101784,0.9224111519441577,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,0,3,83.28148174285889,239,255.49156897570788,213.45959805077868,1.1969083203976167,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,0,3,98.80582284927368,287,250.19824521357828,286.5127501994388,0.8732534417383437,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,0,3,114.309814453125,335,196.21335091472113,398.9711769037959,0.49179831093922394,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,0,3,129.85743975639343,384,232.03137259963916,220.21750449557723,1.0536463626319006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,0,3,145.33036613464355,433,281.1483906416354,220.10906387516167,1.2773140083004175,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,0,3,160.81145858764648,482,239.74946220179663,274.05291459862275,0.8748290911371372,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,0,3,176.3183057308197,531,221.12137291797634,280.4728150819612,0.7883878972490048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,0,3,191.80983710289001,580,156.71598564590528,299.29048203077224,0.5236250233637305,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,0,3,207.2193512916565,629,237.348577238103,262.36043909095747,0.904666031435543,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,0,3,222.68672156333923,678,223.24806661964348,320.2115050909846,0.6971893984765163,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15,0,3,238.167902469635,727,258.8320606549,337.93801683821835,0.7659157826531576,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,0,3,253.73577237129211,776,227.57796523955645,291.2541845192958,0.7813723453112457,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,0,3,269.23484563827515,825,193.84220324884356,269.62006783768345,0.7189457550524034,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,0,3,284.69551396369934,874,256.9230080825975,328.05639759041435,0.7831671931098004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,0,3,300.1678202152252,923,271.2396484882062,320.4809847596861,0.8463517693307024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20,0,3,315.552127122879,970,173.1124074516267,210.60793419049514,0.8219652698128946,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,0,3,331.0422511100769,1019,313.69919907177996,385.01939102556554,0.8147620779207718,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22,0,3,346.5336320400238,1068,289.7092434138311,384.7596652457219,0.7529615746723657,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23,0,3,362.0857949256897,1117,239.58344852149145,212.49235280357738,1.1274920972942326,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,0,3,377.692574262619,1166,268.79525692765554,266.78399109117964,1.0075389300094417,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25,0,3,393.2575821876526,1215,211.42488431647556,266.82464296088,0.7923739050874443,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26,0,3,408.7845575809479,1264,255.45655367502948,351.8081863743367,0.7261245291296731,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
27,0,3,424.34501910209656,1313,236.61923971731753,205.6428943581567,1.1506317320413273,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
28,0,3,439.9525980949402,1362,232.0829616026527,236.13189109581515,0.9828531018221527,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29,0,3,455.53501534461975,1411,177.66875964647446,261.1053427258814,0.6804485798400458,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,0,3,471.16144728660583,1460,241.52137012581912,286.9738664059848,0.8416145105845159,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,0,3,486.72996854782104,1509,198.22150225903337,209.093280618962,0.9480051280091556,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32,0,3,502.3218321800232,1558,259.6208194571811,218.44221203787512,1.1885103022677965,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33,0,3,517.8858165740967,1607,263.54350431849866,275.7397077660754,0.9557691434926614,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34,0,3,533.1863949298859,1655,216.34495043413042,247.83260479605988,0.872947894051953,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35,0,3,548.7714569568634,1704,199.45290410831936,292.0818391640907,0.6828665030291984,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,0,3,564.3282263278961,1753,228.2926936513342,425.3454126144817,0.5367230652567323,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37,0,3,579.8376307487488,1802,318.5177154919064,400.71770397100596,0.7948680887704249,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38,0,3,595.4282510280609,1851,203.18330891462182,223.54597043094125,0.9089106304306659,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39,0,3,610.813444852829,1899,205.61709045270626,295.5549486655874,0.6956983511223713,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40,0,3,626.368047952652,1948,234.23513700634734,253.0,0.9258305810527563,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41,0,3,641.9832634925842,1997,221.93984477511745,246.69978552401582,0.8996353373542433,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42,0,3,657.5700936317444,2046,272.87846026490985,275.53957300651683,0.9903421758531068,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43,1,2,673.0893309116364,2084,260.52982320576524,246.56159861106568,1.0566520685840195,0.010543626,0.110595703125,-11.335429033637046,-0.11463356018066406,0.0003,11.351709365844727,-0.024979906136286444,0.9970139861106873,27.183133256435394
44,1,3,688.6835689544678,2133,302.36741831358023,218.25672956406177,1.3853750073022635,0.010543626,0.110595703125,-11.335429033637046,-0.11463356018066406,0.0003,11.351709365844727,-0.024979906136286444,0.9970139861106873,27.183133256435394
45,1,3,704.2396783828735,2182,221.85464858135882,267.6211097521002,0.8289878507224813,0.010543626,0.110595703125,-11.335429033637046,-0.11463356018066406,0.0003,11.351709365844727,-0.024979906136286444,0.9970139861106873,27.183133256435394
46,1,3,719.8201150894165,2231,340.4508927994308,250.44959572736389,1.3593589233421688,0.010543626,0.110595703125,-11.335429033637046,-0.11463356018066406,0.0003,11.351709365844727,-0.024979906136286444,0.9970139861106873,27.183133256435394
