Iteration,Episode,FPS,Time Elapsed (s),Total Timesteps,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,75,76,1184.7342212200165,2048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,150,123,2358.9199843406677,4096,0.011819061,0.1203125,-11.348801875114441,-0.011119484901428223,0.0003,109.85924530029297,-0.028516337511246093,0.9989707469940186,243.10484495162964
3,224,92,3532.6071519851685,6144,0.010520778,0.113916015625,-11.339245700836182,0.15039986371994019,0.0003,113.417724609375,-0.02847841869224794,0.9981322288513184,198.13356711864472
4,299,98,4713.782353401184,8192,0.0085940035,0.078857421875,-11.332496133446693,0.2426123023033142,0.0003,138.12911987304688,-0.02452791030809749,0.9970312118530273,251.6783661365509
5,373,84,5885.402393579483,10240,0.007895634,0.063818359375,-11.324426391720772,0.2546176314353943,0.0003,133.6332550048828,-0.02457117624071543,0.9959427118301392,269.41922018527987
6,448,124,7061.101121425629,12288,0.0068610664,0.04833984375,-11.316551932692528,0.3107759356498718,0.0003,140.51048278808594,-0.019532150363374967,0.9955278038978577,280.92292442321775
7,522,98,8234.569821119308,14336,0.006188646,0.031494140625,-11.30374135375023,0.33707159757614136,0.0003,126.25301361083984,-0.017452964317635634,0.992818295955658,246.8803322315216
8,596,74,9410.197644472122,16384,0.0057186494,0.024951171875,-11.285939157009125,0.27047640085220337,0.0003,112.85408020019531,-0.014894545052084141,0.9910805225372314,234.5122010231018
9,671,95,10587.150483608246,18432,0.0062658633,0.026318359375,-11.272737380862235,0.24927818775177002,0.0003,93.56773376464844,-0.015719340098439716,0.9895285367965698,224.83142437934876
10,745,74,11761.038304328918,20480,0.005183344,0.0228515625,-11.260871937870979,0.23707246780395508,0.0003,79.7410888671875,-0.01572332410432864,0.988196611404419,203.71118681430818
11,820,120,12936.696910142899,22528,0.0069296104,0.046044921875,-11.251799869537354,0.25408828258514404,0.0003,88.00320434570312,-0.017524428521574008,0.9872654676437378,215.9146160364151
12,894,88,14111.024665594101,24576,0.009086509,0.069775390625,-11.231013664603234,0.17862963676452637,0.0003,82.32423400878906,-0.022374585503712296,0.9834801554679871,179.66189622879028
13,969,115,15286.910323619843,26624,0.007664269,0.06357421875,-11.211827260255813,0.16356909275054932,0.0003,80.6175308227539,-0.02091919016384054,0.9821670055389404,172.7368441104889
14,1043,90,16462.554329395294,28672,0.009248862,0.079833984375,-11.19858551621437,0.20159274339675903,0.0003,89.0867691040039,-0.024772425969422328,0.9806580543518066,180.6349809885025
15,1117,82,17633.283973693848,30720,0.00665584,0.03291015625,-11.184102383255958,0.31168609857559204,0.0003,71.5325698852539,-0.018198094418039545,0.9784587621688843,193.23775925636292
16,1191,75,18805.89088344574,32768,0.0061087017,0.030126953125,-11.17332312464714,0.3415294885635376,0.0003,79.75701141357422,-0.01760592014179565,0.9778982400894165,157.5275769710541
17,1266,93,19985.396550416946,34816,0.007348163,0.04970703125,-11.177042952179908,0.3647037148475647,0.0003,57.14128494262695,-0.021114117401884867,0.9789851307868958,128.93928561210632
18,1340,78,21156.85049533844,36864,0.007882503,0.058056640625,-11.177009370923042,0.2696714401245117,0.0003,68.25296783447266,-0.020829065886209717,0.9782290458679199,187.2360980987549
19,1415,109,22332.136988162994,38912,0.008006514,0.055126953125,-11.174111378192901,0.3237648606300354,0.0003,68.75955200195312,-0.019672084279591218,0.9780442118644714,125.60058145523071
20,1489,92,23504.681715488434,40960,0.0009819432,0.000927734375,-11.170752173662185,0.0003427267074584961,0.0003,20280172.0,-0.003672283982450608,0.9777271747589111,40570779.63694112
21,1563,76,24678.013607263565,43008,0.008052511,0.051318359375,-11.161075094342232,0.3701785206794739,0.0003,73.28266143798828,-0.020066361292265356,0.975810170173645,155.3953094482422
22,1638,110,25854.49845981598,45056,0.008716099,0.072998046875,-11.152590116858482,0.5324611365795135,0.0003,52.526973724365234,-0.021266694900987204,0.9755064845085144,135.1454728126526
23,1712,95,27026.17913389206,47104,0.00947451,0.076318359375,-11.137500315904617,0.4562404155731201,0.0003,56.97179412841797,-0.025007318772259167,0.9718959927558899,126.68534185886384
24,1786,78,28198.168516635895,49152,0.008802624,0.072314453125,-11.104749166965485,0.4667091965675354,0.0003,54.702144622802734,-0.025142606785811948,0.9684209227561951,116.97029975652694
25,1860,71,29371.05536532402,51200,0.0089396,0.06513671875,-11.084369212388992,0.4900286793708801,0.0003,59.954132080078125,-0.023384266778884923,0.9658917784690857,131.09038157463073
26,1934,73,30540.256452798843,53248,0.009424275,0.090771484375,-11.074802049994469,0.5038140416145325,0.0003,52.93162155151367,-0.025565276735869703,0.9664336442947388,113.04100332260131
27,2008,75,31711.712460756302,55296,0.009771515,0.082763671875,-11.072784960269928,0.5088199079036713,0.0003,73.6668472290039,-0.02454129289108096,0.9655823111534119,131.100629734993
