Episode,Iteration,FPS,Time Elapsed (s),Total Timesteps,Average Distance,Starting Distance,Ratio,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,0,349,5.004812002182007,1751,185.18874004387075,322.7976305815026,0.5736991926188033,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,1,288,10.006920576095581,3195,155.88023307152326,306.1672877477009,0.5091341867978311,0.0075499117,0.116650390625,-11.344217565655708,0.3100377917289734,0.0003,0.3650478422641754,-0.00887639419743209,0.9981248378753662,0.5705554945394397
3,2,280,15.007518291473389,4597,193.934294262315,321.66760275438594,0.6029027872303211,0.009414615,0.150390625,-11.334150165319443,-0.1445143222808838,0.0003,0.12635676562786102,-0.0082466206382378,0.9974784851074219,0.33544750777073207
4,3,281,20.512051820755005,6145,202.8919616983397,338.04437578519185,0.6001932770721975,0.008252621,0.10205078125,-11.335907557606697,-0.5274064540863037,0.0003,0.1433045119047165,-0.005644234432838857,0.9985476732254028,0.29803877850063143
5,3,361,25.51309084892273,7952,193.61010202028964,344.38809272982365,0.5621858191600688,0.008252621,0.10205078125,-11.335907557606697,-0.5274064540863037,0.0003,0.1433045119047165,-0.005644234432838857,0.9985476732254028,0.29803877850063143
6,4,288,30.517526149749756,9394,152.84616000248442,350.86464626690446,0.43562713322280294,0.01019609,0.118896484375,-11.340282073616981,0.010482966899871826,0.0003,0.12625323235988617,-0.009543139090237674,0.998967707157135,0.27398241276387125
7,5,297,35.52051830291748,10884,174.2855692027976,318.4558270304635,0.5472833417054273,0.009749439,0.1224609375,-11.352307564020157,-0.6752924919128418,0.0003,0.049025677144527435,-0.007052352839673403,1.0003303289413452,0.1606205319520086
8,6,299,40.52096939086914,12383,216.0242392949056,333.0480445821593,0.6486278565782565,0.0069576376,0.083642578125,-11.365705358982087,0.25579124689102173,0.0003,0.10089032351970673,-0.004878670697507914,1.0039416551589966,0.2304890534840524
9,6,387,45.523863554000854,14320,184.26296155328956,319.0978062675299,0.5774497910487184,0.0069576376,0.083642578125,-11.365705358982087,0.25579124689102173,0.0003,0.10089032351970673,-0.004878670697507914,1.0039416551589966,0.2304890534840524
10,7,301,50.52944469451904,15827,167.1636393013053,309.13813886753564,0.5407409125049245,0.0100366175,0.1076171875,-11.388766485452653,0.49746257066726685,0.0003,0.14641888439655304,-0.009442062735615764,1.005177617073059,0.3142548424191773
11,8,303,55.5407829284668,17347,183.31867642282953,346.7097516639608,0.5287381607901998,0.0075780023,0.0859375,-11.386846357584,-0.1089857816696167,0.0003,0.0482202023267746,-0.0023970460912096313,1.004431962966919,0.18595633339136838
12,9,304,60.54459762573242,18871,181.58939921387557,323.9678206984627,0.5605167785565107,0.011627308,0.13466796875,-11.387280559539795,-0.9373019933700562,0.0003,0.03520360216498375,-0.005739750294014812,1.0058097839355469,0.19254271909594536
13,10,309,65.75125908851624,20481,209.0516285308418,328.3939783979977,0.636587886144128,0.010552319,0.115771484375,-11.407717636227607,-0.6985882520675659,0.0003,0.08516479283571243,-0.0063604596216464415,1.0077567100524902,0.20732722224202008
14,10,390,70.75183701515198,22432,192.4694395540107,329.02431521089744,0.5849702610296201,0.010552319,0.115771484375,-11.407717636227607,-0.6985882520675659,0.0003,0.08516479283571243,-0.0063604596216464415,1.0077567100524902,0.20732722224202008
15,11,299,75.75545048713684,23932,122.72385469198353,344.39657373440866,0.3563445865945971,0.006560704,0.062060546875,-11.39644976556301,0.3329291343688965,0.0003,0.15235553681850433,-0.0029373030563874638,1.0038601160049438,0.38647331008687613
16,12,299,80.75986170768738,25433,166.240805708561,314.4980841032946,0.5285908376279977,0.011254663,0.1712890625,-11.366442999243736,0.9037287309765816,0.0003,0.11854876577854156,-0.008811044944741298,1.0009559392929077,0.23083835479337722
17,13,299,85.7635989189148,26933,191.06984858545596,319.3275785589898,0.5983506011215357,0.007746781,0.10361328125,-11.3843108355999,-0.857050895690918,0.0003,0.07654105126857758,-0.004433292635076214,1.0082902908325195,0.20892142120283097
18,14,310,91.36377024650574,28673,187.97403268007164,320.8297149871601,0.5858996966275226,0.011022333,0.13623046875,-11.42842692732811,-0.0772167444229126,0.0003,0.12252242863178253,-0.008438948965340387,1.0112963914871216,0.29485553288832306
19,14,390,96.36901092529297,30628,184.62212744661156,340.2989735476066,0.5425291928504262,0.011022333,0.13623046875,-11.42842692732811,-0.0772167444229126,0.0003,0.12252242863178253,-0.008438948965340387,1.0112963914871216,0.29485553288832306
20,15,303,101.37219595909119,32147,124.20741747899359,337.7799636398797,0.3677169484552847,0.0103639485,0.1396484375,-11.47637098133564,-0.19066870212554932,0.0003,0.15615180134773254,-0.010616669930459465,1.0189048051834106,0.39994396939873694
