Episode,Iteration,FPS,Time Elapsed (s),Total Timesteps,Average Distance,Starting Distance,Ratio,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,0,1,22.02554202079773,26,281.2288239120174,309.26114873927344,0.9093571082512888,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,0,1,37.553377628326416,53,259.1901572429025,220.9886874932742,1.1728661778254643,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,0,1,53.556912660598755,81,300.30641331281805,266.2774785460235,1.127795016509115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,0,1,69.2758264541626,108,289.81297487033333,224.65974272218867,1.290008487318141,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,0,1,85.15088176727295,136,245.75309672704228,254.8921340488953,0.9641454713541694,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,0,1,100.68066883087158,163,283.74173303732465,278.85890214269614,1.017510041304437,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,0,1,116.23888850212097,190,239.3591007638326,218.47654336335515,1.0955826061644842,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,0,1,132.0257213115692,218,219.93229167123226,351.94748804792624,0.6249008705562437,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,0,1,147.5556185245514,245,362.0464698427591,400.98004937901834,0.9029039484718652,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,0,1,163.52854442596436,273,257.424866610178,222.64994947226015,1.156186503614053,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,0,1,179.1923360824585,300,204.12448019577548,272.8369476445593,0.7481555630863471,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,0,1,195.02765679359436,327,310.8322996460418,242.49536078036627,1.2818072009532995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,0,1,210.6112916469574,355,322.92957491741487,228.95414388038492,1.4104552529353938,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,0,1,226.67701387405396,382,205.36536446489117,369.1341219665286,0.5563434866731523,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15,0,1,242.12969136238098,409,253.94451990518914,373.39771164097357,0.6800912592344965,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,0,1,257.99449634552,437,281.51986159775623,353.9095929753812,0.7954569957569345,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,0,1,273.41970682144165,464,260.2344589462443,213.13845265460665,1.2209643811572435,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,0,1,289.3617742061615,492,349.5883223855482,240.01041644062033,1.456554792787662,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,0,1,305.41354990005493,520,207.7513804442837,268.2530471288719,0.7744604680836207,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20,0,1,321.2765429019928,548,307.8612495409702,218.25434338741576,1.4105618461599012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,0,1,337.0548861026764,575,245.98087899627208,225.32199182503248,1.0916860666990804,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22,0,1,353.062109708786,603,224.82968496027843,200.80089641234176,1.11966474740528,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23,0,1,368.77680826187134,631,312.9951531452778,527.366550406596,0.5935058886536522,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,0,1,384.6125957965851,658,233.28891340628925,256.17146778788975,0.9106748515781341,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
