Episode,Average Distance,Starting Distance,Ratio,FPS,Iterations,Time Elapsed (s),Total Timesteps,Approx KL,Clip Fraction,Entropy Loss,Explained Variance,Learning Rate,Loss,Policy Gradient Loss,Std,Value Loss
1,273.2000028561672,303.6893965504029,0.8996033643565972,2.9918364730375258,1,10.361528873443604,31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,178.28048520614848,223.04457271485703,0.799304296159963,3.06174633132274,1,20.903103351593018,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,218.37289913881136,211.62466774929618,1.0318877353064981,3.0733211069574686,1,31.23656678199768,96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,286.4548652690567,385.62416936701464,0.7428343138845782,3.0825672016644265,1,41.848236083984375,129,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,213.8003592108029,257.95323058385986,0.828833811179182,3.0884546531290886,1,52.4534170627594,162,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,199.05577995318998,239.87079855622275,0.8298458217978283,3.092246794835114,1,63.060943365097046,195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,190.36640673904472,331.2174512310606,0.5747475141526985,3.095263475922968,1,73.66093444824219,228,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,164.40475262267296,203.00246303924493,0.8098658024207807,3.0984459902005335,1,84.23577523231506,261,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,208.18002266730372,313.9554108468271,0.6630878636739623,3.1017253495903425,1,94.78595519065857,294,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,274.30055971944444,232.7767170487633,1.1783848625289381,3.1031109489286823,1,105.37812066078186,327,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,215.86263438774597,365.7183278105194,0.5902428671816129,3.105606443900776,1,115.91938853263855,360,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,295.08664317653876,300.46140955104715,0.982111624975269,3.1056861977088865,1,126.2200927734375,392,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,299.51050310933925,338.3740533788015,0.8851461869449091,3.1065180355351782,1,136.80912041664124,425,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,148.7107064364401,203.69401158317362,0.7300691133755672,3.1072510476607333,1,147.3971664905548,458,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15,229.2016727204675,242.11325420775637,0.9466713149202088,3.1068796638658687,1,157.71450877189636,490,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
